date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-07-13,-3.676994,-4.021827,-4.269213,-4.161303,-4.146966,-4.174310,-4.202185,-4.242491
2022-07-14,-4.205546,-3.676994,-3.978117,-3.985903,-3.952323,-3.967969,-3.924794,-3.923642
2022-07-15,-4.402469,-4.205546,-4.185307,-4.192186,-4.129417,-4.099555,-4.100028,-4.152833
2022-07-18,-4.225309,-4.402469,-4.299134,-4.288557,-4.251048,-4.262507,-4.314371,-4.368464
2022-07-19,-4.452818,-4.225309,-4.220192,-4.198754,-4.208727,-4.262775,-4.297537,-4.209449
2022-07-20,-4.243542,-4.452818,-4.392228,-4.334368,-4.308628,-4.391503,-4.396631,-4.411638
2022-07-21,-4.331349,-4.243542,-4.339218,-4.278217,-4.243571,-4.289042,-4.321600,-4.324630
2022-07-22,-4.310948,-4.331349,-4.338004,-4.328216,-4.273142,-4.324668,-4.338590,-4.277324
2022-07-25,-4.532739,-4.310948,-4.362142,-4.312618,-4.272017,-4.303183,-4.330710,-4.345512
2022-07-26,-4.722634,-4.532739,-4.448649,-4.435037,-4.394208,-4.466984,-4.439511,-4.435585
2022-07-27,-4.108243,-4.722634,-4.593614,-4.541291,-4.517030,-4.637528,-4.592234,-4.585258
2022-07-28,-4.394662,-4.108243,-4.317202,-4.256942,-4.255456,-4.313960,-4.348205,-4.281020
2022-07-29,-4.032282,-4.394662,-4.404761,-4.389673,-4.341317,-4.382194,-4.349102,-4.359087
2022-08-01,-4.359690,-4.032282,-4.257547,-4.208221,-4.175952,-4.137204,-4.177512,-4.232687
2022-08-02,-4.320902,-4.359690,-4.298922,-4.344988,-4.296009,-4.299706,-4.280187,-4.266183
2022-08-03,-4.522145,-4.320902,-4.351880,-4.305488,-4.298063,-4.295832,-4.316015,-4.352181
2022-08-04,-4.352081,-4.522145,-4.417616,-4.425246,-4.400318,-4.466098,-4.438966,-4.427462
2022-08-05,-4.570189,-4.352081,-4.405304,-4.348966,-4.344363,-4.391207,-4.400061,-4.375887
2022-08-08,-4.279003,-4.570189,-4.495475,-4.484857,-4.444172,-4.528550,-4.486223,-4.483497
2022-08-09,-4.621632,-4.279003,-4.399268,-4.347384,-4.327130,-4.357995,-4.377562,-4.353406
2022-08-10,-4.601372,-4.621632,-4.516868,-4.520702,-4.472136,-4.552312,-4.497697,-4.505952
2022-08-11,-4.691963,-4.601372,-4.576411,-4.518272,-4.495570,-4.576785,-4.551511,-4.566774
2022-08-12,-4.812926,-4.691963,-4.598651,-4.585746,-4.553951,-4.678696,-4.622293,-4.614871
2022-08-15,-4.747210,-4.812926,-4.721301,-4.663044,-4.633792,-4.767048,-4.702316,-4.708717
2022-08-16,-4.701001,-4.747210,-4.709336,-4.667581,-4.629109,-4.765114,-4.710904,-4.725586
2022-08-17,-4.402071,-4.701001,-4.693615,-4.654174,-4.614664,-4.739814,-4.684196,-4.678144
2022-08-18,-4.579702,-4.402071,-4.544912,-4.508866,-4.469807,-4.525182,-4.515977,-4.530658
2022-08-19,-4.783212,-4.579702,-4.576159,-4.581560,-4.522769,-4.572155,-4.521117,-4.571567
2022-08-22,-4.802785,-4.783212,-4.687689,-4.674588,-4.629284,-4.697492,-4.641534,-4.712337
2022-08-23,-4.429998,-4.802785,-4.699968,-4.690068,-4.666839,-4.777073,-4.718647,-4.744141
2022-08-24,-4.769684,-4.429998,-4.546169,-4.506686,-4.501037,-4.570002,-4.561404,-4.549880
2022-08-25,-4.758530,-4.769684,-4.688613,-4.683589,-4.630531,-4.708900,-4.635124,-4.724725
2022-08-26,-3.949499,-4.758530,-4.722628,-4.690277,-4.651628,-4.728271,-4.684480,-4.719725
2022-08-29,-4.197160,-3.949499,-4.272512,-4.274795,-4.266379,-4.290518,-4.345551,-4.217372
2022-08-30,-4.174236,-4.197160,-4.310907,-4.344872,-4.293825,-4.220745,-4.226877,-4.285944
2022-08-31,-4.293734,-4.174236,-4.296498,-4.318977,-4.267843,-4.158238,-4.200091,-4.345405
2022-09-01,-4.141875,-4.293734,-4.255642,-4.341463,-4.311291,-4.254036,-4.277350,-4.246475
2022-09-02,-4.176822,-4.141875,-4.230546,-4.232610,-4.241130,-4.186553,-4.235611,-4.221684
2022-09-06,-4.134837,-4.176822,-4.226281,-4.260050,-4.238788,-4.188926,-4.221258,-4.227827
2022-09-07,-4.375179,-4.134837,-4.219059,-4.235627,-4.211576,-4.153955,-4.194820,-4.168591
2022-09-08,-4.127972,-4.375179,-4.316230,-4.354807,-4.318711,-4.294680,-4.303847,-4.298026
2022-09-09,-4.631272,-4.127972,-4.232120,-4.232327,-4.220605,-4.192041,-4.248383,-4.194530
2022-09-12,-4.442703,-4.631272,-4.455799,-4.489393,-4.446227,-4.484663,-4.444976,-4.465614
2022-09-13,-4.474823,-4.442703,-4.463038,-4.421137,-4.406508,-4.449496,-4.472590,-4.454872
2022-09-14,-4.172618,-4.474823,-4.440460,-4.455701,-4.423811,-4.498863,-4.485719,-4.428625
