date,MKT,TB,TS,DEF,INF,VIX,DXY_RET
2015-01-05,-0.01827929562130422,0.03,2.0100000000000002,0.9699999999999998,1.25,2.9917242559864694,0.0032937573159006472
2015-01-06,-0.008894662199136998,0.03,1.94,0.9900000000000002,1.16,3.0502204985744896,0.0013132277324241493
2015-01-07,0.011628652195552465,0.03,1.93,0.9800000000000004,1.16,2.9606230687833737,0.004262288411458259
2015-01-08,0.017887090153325718,0.03,1.9999999999999998,1.0000000000000004,1.21,2.8338014198634927,0.005223673524016537
2015-01-09,-0.008404604685509087,0.02,1.96,1.0000000000000004,1.2,2.8650539064395404,-0.004655194244775451
2015-01-12,-0.008094875637103054,0.03,1.89,0.9999999999999996,1.16,2.9755295856992126,0.00043507629394334835
2015-01-13,-0.002579745712486053,0.03,1.88,0.9699999999999998,1.05,3.0233474146113988,0.0035876732943747047
2015-01-14,-0.005814654628972593,0.04,1.82,0.9800000000000004,1.18,3.0671222483295058,-0.0016248932992243281
2015-01-15,-0.009249066398028432,0.03,1.74,0.98,1.18,3.1086144033506558,0.002061575569249241
2015-01-16,0.013423008919629926,0.03,1.8,0.9900000000000002,1.19,3.042138682785304,0.001840803159222082
2015-01-19,-1.1904761904761904e-06,0.03,1.8,0.9900000000000002,1.19,3.042138682785304,0.0
2015-01-20,0.0015487618936480935,0.03,1.79,1.0099999999999998,1.19,2.990217062179527,0.005728560613076139
2015-01-21,0.004730433492574888,0.03,1.84,1.0,1.17,2.9365129341311405,-0.0016120528851081284
2015-01-22,0.015268531440390016,0.03,1.8699999999999999,0.9800000000000004,1.19,2.797281311569803,0.01442407229150966
2015-01-23,-0.005492316090100823,0.02,1.79,1.02,1.21,2.8130106275797595,0.008064538979819513
2015-01-26,0.002567270380839743,0.03,1.8,1.0,1.24,2.742129544250154,-0.0021052310341282965
2015-01-27,-0.013388656061204662,0.02,1.81,1.0,1.29,2.8460714591247,-0.008227915438626554
2015-01-28,-0.013496403017141955,0.02,1.71,0.9900000000000002,1.24,3.0174937914635667,0.004786264557582243
2015-01-29,0.00953349481090941,0.03,1.74,0.9999999999999996,1.31,2.9317269557786028,0.003281439129756425
2015-01-30,-0.012992758902803502,0.02,1.66,1.0,1.29,3.0430928121696454,0.00021106006244542286
