date,actual,enn,jnn
2022-09-28,-3.989655,-4.066193,-4.107775
2022-09-29,-4.016129,-4.072882,-4.109697
2022-09-30,-3.896300,-4.085197,-4.116892
2022-10-03,-4.364585,-4.045205,-4.093533
2022-10-04,-4.294807,-4.264914,-4.226318
2022-10-05,-4.079518,-4.290873,-4.249952
2022-10-06,-4.218425,-4.170836,-4.187204
2022-10-07,-4.393746,-4.206434,-4.198988
2022-10-10,-4.000926,-4.338828,-4.285017
2022-10-11,-4.198480,-4.140033,-4.161592
2022-10-12,-4.289507,-4.187518,-4.188382
2022-10-13,-3.676253,-4.257360,-4.225751
2022-10-14,-3.927494,-4.011738,-4.074834
2022-10-17,-4.318500,-4.041332,-4.092815
2022-10-18,-3.650712,-4.232483,-4.203106
2022-10-19,-4.241674,-4.002552,-4.066783
2022-10-20,-4.115814,-4.174667,-4.172108
2022-10-21,-4.135252,-4.151938,-4.154818
2022-10-24,-4.017945,-4.162263,-4.169346
2022-10-25,-4.412906,-4.103483,-4.129961
2022-10-26,-4.056829,-4.318395,-4.266362
2022-10-27,-3.952778,-4.160743,-4.126774
2022-10-28,-3.842590,-4.079229,-4.073163
2022-10-31,-4.162920,-4.027151,-4.028305
2022-11-01,-4.208343,-4.139805,-4.099838
2022-11-02,-3.547530,-4.194568,-4.138777
2022-11-03,-3.816276,-3.980614,-3.999895
2022-11-04,-3.409421,-4.007953,-4.014812
2022-11-07,-4.088830,-3.948559,-3.973423
2022-11-08,-4.017981,-4.090019,-4.064353
2022-11-09,-4.218440,-4.088741,-4.064781
2022-11-10,-3.943380,-4.188456,-4.137146
2022-11-11,-4.118305,-4.080233,-4.065706
2022-11-14,-4.322634,-4.131651,-4.100405
2022-11-15,-3.899690,-4.262156,-4.187140
2022-11-16,-4.278353,-4.080294,-4.070241
2022-11-17,-4.263254,-4.218025,-4.162552
2022-11-18,-4.176494,-4.249844,-4.181666
2022-11-21,-4.535163,-4.214025,-4.173698
2022-11-22,-4.623396,-4.447499,-4.354156
2022-11-23,-4.435892,-4.600967,-4.536712
2022-11-25,-4.919368,-4.518144,-4.541343
2022-11-28,-4.578270,-4.786119,-4.784595
2022-11-29,-4.045314,-4.672589,-4.689732
2022-11-30,-3.882545,-4.245405,-4.255936
2022-12-01,-4.292940,-4.053712,-4.019361
2022-12-02,-4.416914,-4.215950,-4.176163
2022-12-05,-4.103941,-4.363464,-4.320905
2022-12-06,-4.332896,-4.206669,-4.180065
2022-12-07,-4.126814,-4.295051,-4.264298
2022-12-08,-4.225574,-4.187679,-4.156569
2022-12-09,-4.251798,-4.221503,-4.191934
2022-12-12,-4.317647,-4.244579,-4.212079
2022-12-13,-3.791991,-4.303066,-4.270705
2022-12-14,-3.516569,-4.043103,-4.001966
2022-12-15,-4.232216,-3.952883,-3.890935
2022-12-16,-3.953650,-4.156540,-4.109881
2022-12-19,-4.222369,-4.072524,-4.031057
2022-12-20,-4.037200,-4.186912,-4.152951
2022-12-21,-4.102197,-4.114659,-4.079633
2022-12-22,-4.154108,-4.131643,-4.098980
2022-12-23,-4.072396,-4.160131,-4.126370
2022-12-27,-4.407770,-4.127457,-4.094284
2022-12-28,-4.089726,-4.325282,-4.284869
2022-12-29,-4.390671,-4.180072,-4.148448
2022-12-30,-4.336508,-4.327696,-4.302902
2023-01-03,-3.806268,-4.326718,-4.310387
2023-01-04,-3.934900,-4.307289,-4.021514
2023-01-05,-4.182428,-4.308893,-4.009045
