date,actual,narx
2022-11-16,-4.631625,-4.343649
2022-11-17,-4.634741,-4.375631
2022-11-18,-4.532958,-4.446449
2022-11-21,-4.875118,-4.473631
2022-11-22,-4.962302,-4.569026
2022-11-23,-4.972600,-4.716932
2022-11-25,-5.313926,-4.702704
2022-11-28,-4.854696,-4.818279
2022-11-29,-4.918174,-4.695488
2022-11-30,-4.215704,-4.702855
2022-12-01,-4.369818,-4.617566
2022-12-02,-4.580299,-4.426476
2022-12-05,-4.513352,-4.507923
2022-12-06,-4.132873,-4.431269
2022-12-07,-4.330270,-4.327989
2022-12-08,-4.604509,-4.338253
2022-12-09,-4.864856,-4.441904
2022-12-12,-4.673712,-4.528213
2022-12-13,-4.120020,-4.596768
2022-12-14,-4.088423,-4.415003
2022-12-15,-4.296929,-4.268782
2022-12-16,-4.469618,-4.207837
2022-12-19,-4.359864,-4.326077
2022-12-20,-4.586896,-4.365208
2022-12-21,-4.720639,-4.467392
2022-12-22,-4.630609,-4.594306
2022-12-23,-4.499237,-4.477659
2022-12-27,-4.754422,-4.509788
2022-12-28,-4.661084,-4.536044
2022-12-29,-4.997603,-4.500769
2022-12-30,-4.578950,-4.709092
2023-01-03,-4.212465,-4.582813
2023-01-04,-4.432430,-4.378022
2023-01-05,-4.561595,-4.414047
2023-01-06,-4.487596,-4.401051
2023-01-09,-4.624189,-4.544597
2023-01-10,-4.621226,-4.533525
2023-01-11,-4.562871,-4.582523
2023-01-12,-4.534381,-4.569140
2023-01-13,-3.925725,-4.576983
2023-01-17,-4.589508,-4.351151
2023-01-18,-4.499313,-4.458818
2023-01-19,-4.642059,-4.447192
2023-01-20,-4.566021,-4.527426
2023-01-23,-4.616528,-4.640860
2023-01-24,-4.415509,-4.601989
2023-01-25,-4.799810,-4.524964
2023-01-26,-4.663392,-4.625571
2023-01-27,-4.690953,-4.676782
2023-01-30,-4.959747,-4.649824
2023-01-31,-4.827664,-4.683777
2023-02-01,-4.269960,-4.760545
2023-02-02,-4.296691,-4.613491
2023-02-03,-4.400042,-4.525443
2023-02-06,-4.782384,-4.453703
2023-02-07,-4.439666,-4.583673
2023-02-08,-4.518050,-4.630866
2023-02-09,-4.682647,-4.533366
2023-02-10,-4.727879,-4.574846
2023-02-13,-4.860139,-4.620010
2023-02-14,-4.481869,-4.720387
2023-02-15,-4.766177,-4.624793
2023-02-16,-4.768774,-4.660309
2023-02-17,-4.616005,-4.627824
2023-02-21,-4.652274,-4.610219
2023-02-22,-4.707154,-4.523493
2023-02-23,-4.596800,-4.583669
2023-02-24,-4.490263,-4.586765
2023-02-27,-4.901105,-4.490513
2023-02-28,-4.915714,-4.663598
2023-03-01,-4.660878,-4.703580
2023-03-02,-4.281439,-4.633992
2023-03-03,-4.995218,-4.530969
2023-03-06,-4.949751,-4.732839
2023-03-07,-4.330334,-4.753518
2023-03-08,-4.538398,-4.499757
2023-03-09,-4.022022,-4.578954
2023-03-10,-3.498248,-4.245250
2023-03-13,-3.434819,-3.991054
2023-03-14,-3.905881,-3.944939
2023-03-15,-3.934310,-4.086596
2023-03-16,-3.854514,-4.095929
2023-03-17,-4.136367,-4.203386
2023-03-20,-4.176375,-4.200015
2023-03-21,-4.446092,-4.288852
2023-03-22,-4.261692,-4.436247
2023-03-23,-4.289539,-4.362577
2023-03-24,-4.165846,-4.389585
2023-03-27,-4.199439,-4.364388
2023-03-28,-4.492148,-4.348068
2023-03-29,-4.446423,-4.456540
2023-03-30,-4.409484,-4.538071
2023-03-31,-4.995260,-4.520549
2023-04-03,-4.511605,-4.720671
2023-04-04,-4.537379,-4.633122
2023-04-05,-4.386038,-4.566062
2023-04-06,-4.900351,-4.561445
2023-04-10,-4.684586,-4.680957
2023-04-11,-4.992272,-4.693034
2023-04-12,-4.596638,-4.753659
2023-04-13,-4.788800,-4.694126
2023-04-14,-4.027789,-4.731910
2023-04-17,-4.360135,-4.487682
2023-04-18,-4.688512,-4.500671
2023-04-19,-4.846216,-4.664612
2023-04-20,-4.848922,-4.727041
2023-04-21,-4.698583,-4.746595
2023-04-24,-5.000556,-4.746429
2023-04-25,-4.721959,-4.782881
2023-04-26,-4.441447,-4.685236
2023-04-27,-4.730653,-4.583016
2023-04-28,-4.666987,-4.746612
2023-05-01,-4.275632,-4.744670
2023-05-02,-4.213557,-4.572053
2023-05-03,-4.576588,-4.469085
2023-05-04,-4.104600,-4.567947
2023-05-05,-4.330812,-4.389516
2023-05-08,-4.583136,-4.545099
2023-05-09,-4.717424,-4.640557
2023-05-10,-4.605617,-4.631462
2023-05-11,-4.479638,-4.670369
2023-05-12,-4.616280,-4.627300
2023-05-15,-4.762251,-4.630497
2023-05-16,-4.651502,-4.694034
2023-05-17,-4.484584,-4.644481
2023-05-18,-4.647724,-4.654908
2023-05-19,-4.420679,-4.694320
2023-05-22,-4.374240,-4.576705
2023-05-23,-4.413673,-4.525929
2023-05-24,-4.582740,-4.503292
2023-05-25,-4.725750,-4.525600
2023-05-26,-4.764391,-4.639627
2023-05-30,-4.499998,-4.682825
2023-05-31,-4.404323,-4.628158
2023-06-01,-4.433777,-4.538095
2023-06-02,-4.652958,-4.613745
2023-06-05,-4.671153,-4.712613
2023-06-06,-4.915228,-4.717846
2023-06-07,-4.655587,-4.808894
2023-06-08,-5.151167,-4.760932
2023-06-09,-4.715828,-4.858208
2023-06-12,-4.662059,-4.819080
2023-06-13,-4.740325,-4.719162
2023-06-14,-4.537738,-4.766334
2023-06-15,-4.842920,-4.693952
2023-06-16,-5.012285,-4.765700
2023-06-20,-4.881365,-4.874089
2023-06-21,-4.663333,-4.814502
2023-06-22,-4.709885,-4.772474
2023-06-23,-4.861315,-4.791705
2023-06-26,-4.807169,-4.783103
2023-06-27,-5.010924,-4.777524
2023-06-28,-4.900019,-4.879696
2023-06-29,-4.342076,-4.866139
2023-06-30,-4.747399,-4.682334
2023-07-03,-4.985746,-4.755514
2023-07-05,-4.954682,-4.848944
2023-07-06,-4.672252,-4.811592
2023-07-07,-5.065536,-4.729060
2023-07-10,-4.938303,-4.826696
2023-07-11,-4.782543,-4.828786
2023-07-12,-4.428398,-4.780093
2023-07-13,-4.884270,-4.731896
2023-07-14,-4.065681,-4.805620
2023-07-17,-4.559783,-4.560583
2023-07-18,-4.930049,-4.624488
2023-07-19,-4.732601,-4.842948
2023-07-20,-5.071799,-4.760427
2023-07-21,-4.848460,-4.814580
2023-07-24,-4.757714,-4.868803
2023-07-25,-4.724183,-4.768917
2023-07-26,-4.831513,-4.781263
2023-07-27,-4.705059,-4.811239
2023-07-28,-5.231680,-4.733764
2023-07-31,-4.889621,-4.921383
2023-08-01,-5.194043,-4.883546
2023-08-02,-4.761773,-4.874106
2023-08-03,-4.933614,-4.770840
2023-08-04,-4.793869,-4.764845
2023-08-07,-4.950713,-4.729699
2023-08-08,-4.483647,-4.815231
2023-08-09,-4.775107,-4.664667
2023-08-10,-4.742257,-4.681745
2023-08-11,-4.966407,-4.727262
2023-08-14,-5.043877,-4.777634
2023-08-15,-4.649863,-4.851035
2023-08-16,-4.824596,-4.665245
2023-08-17,-4.633602,-4.669111
2023-08-18,-4.732842,-4.605316
2023-08-21,-4.817127,-4.618245
2023-08-22,-4.645823,-4.704438
2023-08-23,-4.813068,-4.634756
2023-08-24,-4.585962,-4.723038
2023-08-25,-4.489311,-4.606556
2023-08-28,-4.939350,-4.597015
2023-08-29,-4.898524,-4.769501
2023-08-30,-4.863022,-4.825455
2023-08-31,-4.942042,-4.784269
2023-09-01,-4.984647,-4.843526
2023-09-05,-4.542175,-4.857625
2023-09-06,-4.950109,-4.684257
2023-09-07,-5.043717,-4.766967
2023-09-08,-5.061355,-4.855096
2023-09-11,-4.855879,-4.849302
2023-09-12,-4.733636,-4.836952
2023-09-13,-4.763624,-4.753445
2023-09-14,-4.730257,-4.772966
2023-09-15,-4.839644,-4.802876
2023-09-18,-5.119803,-4.768606
2023-09-19,-4.961515,-4.887691
2023-09-20,-4.773701,-4.853201
2023-09-21,-4.513244,-4.737767
2023-09-22,-4.550704,-4.563272
2023-09-25,-4.597827,-4.554018
2023-09-26,-4.671582,-4.588631
2023-09-27,-4.524136,-4.539953
2023-09-28,-4.571494,-4.549623
2023-09-29,-4.640681,-4.574948
2023-10-02,-4.545035,-4.581472
2023-10-03,-4.624396,-4.547488
2023-10-04,-4.663163,-4.481848
2023-10-05,-4.407676,-4.584203
2023-10-06,-4.437592,-4.458053
2023-10-09,-4.726368,-4.493704
2023-10-10,-4.716536,-4.599107
2023-10-11,-4.673473,-4.634915
2023-10-12,-4.642399,-4.655537
2023-10-13,-3.716556,-4.623206
2023-10-16,-4.331904,-4.185977
2023-10-17,-4.500339,-4.368135
2023-10-18,-4.416535,-4.479905
2023-10-19,-4.342321,-4.378933
2023-10-20,-4.303984,-4.354263
2023-10-23,-4.556210,-4.312251
2023-10-24,-4.745828,-4.408309
2023-10-25,-4.878774,-4.593654
2023-10-26,-4.529273,-4.589394
2023-10-27,-4.368143,-4.486091
2023-10-30,-4.582109,-4.375829
2023-10-31,-4.783922,-4.494225
2023-11-01,-4.570422,-4.622432
2023-11-02,-4.616792,-4.619888
2023-11-03,-4.693017,-4.681658
2023-11-06,-4.864376,-4.717085
2023-11-07,-5.031573,-4.744533
2023-11-08,-4.763367,-4.831669
2023-11-09,-4.702770,-4.788028
2023-11-10,-5.047102,-4.685225
