date,AAPL_log_rv,AMZN_log_rv,JPM_log_rv
2016-06-10,-5.015496,-4.904484,-4.950407
2016-06-13,-4.389295,-4.657970,-4.434940
2016-06-14,-4.610316,-4.780924,-4.514728
2016-06-15,-4.753505,-4.821191,-4.469539
2016-06-16,-4.724251,-4.631539,-4.468176
2016-06-17,-4.695719,-4.375587,-4.787014
2016-06-20,-4.910037,-4.829133,-4.632393
2016-06-21,-4.760808,-4.860553,-4.551187
2016-06-22,-4.750068,-4.620192,-4.754646
2016-06-23,-4.831380,-4.897424,-4.730135
2016-06-24,-4.272155,-4.045243,-3.859358
2016-06-27,-4.390081,-4.063107,-4.201361
2016-06-28,-4.825693,-4.688892,-4.395535
2016-06-29,-4.813183,-4.946331,-4.641160
2016-06-30,-4.884695,-4.948537,-4.402015
2016-07-01,-5.192052,-4.946482,-4.687860
2016-07-05,-4.908688,-4.809354,-4.522481
2016-07-06,-4.629401,-4.522969,-4.476518
2016-07-07,-4.942419,-4.967459,-4.572575
2016-07-08,-5.028474,-5.263916,-4.820780
2016-07-11,-5.238458,-5.017431,-4.625336
2016-07-12,-5.262194,-4.174728,-4.861911
2016-07-13,-5.209103,-3.944558,-4.858210
2016-07-14,-5.013926,-4.991410,-4.454929
2016-07-15,-5.272383,-4.912945,-4.703281
2016-07-18,-5.175128,-4.751310,-5.061653
2016-07-19,-5.242203,-4.934204,-5.083569
2016-07-20,-5.146403,-5.109935,-5.066996
2016-07-21,-4.713340,-5.149446,-5.068290
2016-07-22,-5.033117,-5.206213,-5.363130
2016-07-25,-4.702349,-4.956688,-5.316738
2016-07-26,-4.619173,-5.121264,-4.941580
2016-07-27,-4.462934,-4.805732,-4.866487
2016-07-28,-4.709452,-4.528234,-5.068154
2016-07-29,-4.858956,-4.322434,-5.076576
2016-08-01,-5.040515,-4.713160,-4.910786
2016-08-02,-4.726567,-4.714690,-4.696957
2016-08-03,-5.071061,-4.821447,-5.114695
2016-08-04,-5.035734,-4.695632,-4.906580
2016-08-05,-5.313221,-5.177650,-5.054698
2016-08-08,-5.119094,-5.162846,-5.082943
2016-08-09,-5.325154,-5.133190,-5.191240
2016-08-10,-5.119857,-5.205276,-5.069947
2016-08-11,-5.073868,-5.195017,-4.958609
2016-08-12,-5.513256,-5.405635,-5.175412
2016-08-15,-5.529632,-5.238825,-5.484335
2016-08-16,-4.965636,-5.409005,-4.865149
2016-08-17,-4.836895,-5.155851,-5.001423
2016-08-18,-5.316489,-5.213767,-5.107460
2016-08-19,-5.140289,-5.250201,-5.044577
2016-08-22,-4.816226,-5.118880,-5.030409
2016-08-23,-5.451695,-5.397469,-5.378300
