date,actual,fnn,lstm,nar
2022-08-26,-3.855291,-4.600751,-4.587279,-4.600338
2022-08-29,-4.575471,-4.194951,-4.277960,-4.199656
2022-08-30,-4.232865,-4.403222,-4.355553,-4.444088
2022-08-31,-4.222818,-4.270328,-4.339969,-4.387407
2022-09-01,-4.168926,-4.292012,-4.327448,-4.287141
2022-09-02,-4.138107,-4.199145,-4.249346,-4.288828
2022-09-06,-4.062976,-4.166144,-4.215379,-4.165822
2022-09-07,-4.371709,-4.109040,-4.161875,-4.131554
2022-09-08,-4.075060,-4.269036,-4.272624,-4.278496
2022-09-09,-4.504747,-4.157394,-4.231361,-4.171095
2022-09-12,-4.514873,-4.392163,-4.372771,-4.353694
2022-09-13,-4.279421,-4.464895,-4.473580,-4.455564
2022-09-14,-4.110312,-4.392956,-4.430039,-4.314539
2022-09-15,-4.088255,-4.226918,-4.284615,-4.226766
2022-09-16,-4.143678,-4.132597,-4.181753,-4.151663
2022-09-19,-4.381878,-4.133789,-4.171405,-4.159945
2022-09-20,-4.417866,-4.287066,-4.297316,-4.307353
2022-09-21,-3.643572,-4.381545,-4.401151,-4.375561
2022-09-22,-3.939810,-4.030869,-4.112240,-3.991796
2022-09-23,-4.178100,-3.986033,-3.976550,-4.017388
2022-09-26,-3.916887,-4.068604,-4.051786,-4.158085
2022-09-27,-4.036758,-4.016440,-4.054751,-4.054184
2022-09-28,-4.016226,-4.049800,-4.082391,-4.086825
2022-09-29,-4.054667,-4.029525,-4.069164,-4.057556
2022-09-30,-4.173138,-4.059281,-4.101539,-4.061111
2022-10-03,-4.184053,-4.126394,-4.178840,-4.136220
2022-10-04,-4.181608,-4.164980,-4.221519,-4.144650
2022-10-05,-4.147722,-4.185196,-4.237677,-4.167585
2022-10-06,-4.214205,-4.167202,-4.218965,-4.158897
2022-10-07,-4.380239,-4.196339,-4.248053,-4.180576
2022-10-10,-4.227888,-4.307930,-4.355737,-4.276194
2022-10-11,-4.027292,-4.271934,-4.318688,-4.247571
2022-10-12,-4.126172,-4.147120,-4.187819,-4.146080
2022-10-13,-3.575165,-4.125658,-4.171295,-4.146009
2022-10-14,-3.310003,-3.901638,-3.863511,-3.975357
2022-10-17,-3.970097,-3.787576,-3.570480,-3.893389
2022-10-18,-3.870767,-3.904298,-3.780841,-3.962172
2022-10-19,-4.337105,-3.903366,-3.886971,-3.982829
2022-10-20,-4.111924,-4.176966,-4.220999,-4.139780
2022-10-21,-3.831574,-4.137044,-4.201058,-4.150170
2022-10-24,-4.315725,-4.022004,-4.041212,-4.005660
2022-10-25,-4.397478,-4.176251,-4.216172,-4.206100
2022-10-26,-4.347598,-4.291250,-4.354307,-4.260544
2022-10-27,-4.394923,-4.360558,-4.388212,-4.304989
2022-10-28,-4.540288,-4.389752,-4.412003,-4.344477
2022-10-31,-4.300798,-4.482195,-4.496628,-4.401503
2022-11-01,-4.420766,-4.393759,-4.409510,-4.355576
2022-11-02,-3.784245,-4.419671,-4.432623,-4.377640
2022-11-03,-4.024457,-4.094050,-4.085323,-4.134702
2022-11-04,-4.273557,-4.048371,-4.049614,-4.102792
2022-11-07,-4.649318,-4.128064,-4.171008,-4.219579
2022-11-08,-4.397931,-4.443215,-4.485826,-4.381354
2022-11-09,-4.371237,-4.461256,-4.473450,-4.408395
2022-11-10,-4.466458,-4.442522,-4.444203,-4.343025
2022-11-11,-4.335041,-4.440585,-4.457129,-4.399861
2022-11-14,-4.560418,-4.385989,-4.406296,-4.352442
2022-11-15,-4.177600,-4.499411,-4.507309,-4.461764
2022-11-16,-4.631625,-4.318309,-4.340056,-4.333002
2022-11-17,-4.634741,-4.510026,-4.518284,-4.446359
2022-11-18,-4.532958,-4.576706,-4.582797,-4.559752
2022-11-21,-4.875118,-4.606275,-4.583433,-4.515244
2022-11-22,-4.962302,-4.754660,-4.729832,-4.674191
2022-11-23,-4.972600,-4.853537,-4.826681,-4.796092
2022-11-25,-5.313926,-4.913180,-4.877171,-4.834815
2022-11-28,-4.854696,-5.004589,-5.013474,-4.982929
2022-11-29,-4.918174,-4.918790,-4.914053,-4.915709
2022-11-30,-4.215704,-4.915935,-4.883040,-4.884099
2022-12-01,-4.369818,-4.543283,-4.534625,-4.581522
2022-12-02,-4.580299,-4.440014,-4.433222,-4.460865
2022-12-05,-4.513352,-4.461205,-4.503142,-4.587798
2022-12-06,-4.132873,-4.523047,-4.544763,-4.550407
2022-12-07,-4.330270,-4.333821,-4.354025,-4.331456
2022-12-08,-4.604509,-4.305581,-4.336588,-4.312798
2022-12-09,-4.864856,-4.444802,-4.494512,-4.467949
2022-12-12,-4.673712,-4.703865,-4.719171,-4.682430
2022-12-13,-4.120020,-4.731506,-4.717597,-4.670361
2022-12-14,-4.088423,-4.433431,-4.426551,-4.342826
2022-12-15,-4.296929,-4.207467,-4.223844,-4.213061
2022-12-16,-4.469618,-4.200533,-4.248920,-4.285868
2022-12-19,-4.359864,-4.348621,-4.406302,-4.400434
2022-12-20,-4.586896,-4.383672,-4.424990,-4.390367
2022-12-21,-4.720639,-4.515797,-4.533981,-4.473328
2022-12-22,-4.630609,-4.636159,-4.649136,-4.577998
2022-12-23,-4.499237,-4.671325,-4.662097,-4.590170
2022-12-27,-4.754422,-4.600770,-4.589636,-4.537153
2022-12-28,-4.661084,-4.680089,-4.671771,-4.647068
2022-12-29,-4.997603,-4.679960,-4.675823,-4.654418
2022-12-30,-4.578950,-4.847038,-4.799727,-4.820130
2023-01-03,-4.212465,-4.714635,-4.663287,-4.706330
2023-01-04,-4.432430,-4.469593,-4.436696,-4.414657
2023-01-05,-4.561595,-4.413010,-4.432821,-4.455081
2023-01-06,-4.487596,-4.483564,-4.512773,-4.515972
2023-01-09,-4.624189,-4.521050,-4.520858,-4.512096
2023-01-10,-4.621226,-4.603784,-4.584969,-4.575959
2023-01-11,-4.562871,-4.626050,-4.603515,-4.579677
2023-01-12,-4.534381,-4.617117,-4.586026,-4.555275
2023-01-13,-3.925725,-4.584676,-4.560646,-4.547923
2023-01-17,-4.589508,-4.231490,-4.241697,-4.218975
2023-01-18,-4.499313,-4.413784,-4.448593,-4.416229
2023-01-19,-4.642059,-4.437419,-4.488252,-4.500284
2023-01-20,-4.566021,-4.622152,-4.598240,-4.547672
2023-01-23,-4.616528,-4.601879,-4.581070,-4.571791
2023-01-24,-4.415509,-4.635847,-4.602983,-4.552424
2023-01-25,-4.799810,-4.518897,-4.507480,-4.482684
2023-01-26,-4.663392,-4.684378,-4.659478,-4.653231
2023-01-27,-4.690953,-4.680699,-4.649689,-4.663546
2023-01-30,-4.959747,-4.725448,-4.668594,-4.666733
2023-01-31,-4.827664,-4.827300,-4.782479,-4.793983
2023-02-01,-4.269960,-4.830152,-4.771080,-4.800783
2023-02-02,-4.296691,-4.529038,-4.519419,-4.507073
2023-02-03,-4.400042,-4.394258,-4.400193,-4.405967
2023-02-06,-4.782384,-4.375635,-4.395713,-4.424312
2023-02-07,-4.439666,-4.631982,-4.623768,-4.635761
2023-02-08,-4.518050,-4.546498,-4.536291,-4.555434
2023-02-09,-4.682647,-4.570393,-4.550467,-4.503845
2023-02-10,-4.727879,-4.633283,-4.613040,-4.589904
2023-02-13,-4.860139,-4.707962,-4.676243,-4.649327
2023-02-14,-4.481869,-4.802044,-4.764393,-4.751974
2023-02-15,-4.766177,-4.631924,-4.609612,-4.615942
2023-02-16,-4.768774,-4.729957,-4.692333,-4.672843
2023-02-17,-4.616005,-4.741329,-4.707793,-4.730311
2023-02-21,-4.652274,-4.697557,-4.663820,-4.667278
2023-02-22,-4.707154,-4.687490,-4.652957,-4.670694
2023-02-23,-4.596800,-4.704068,-4.670785,-4.690905
2023-02-24,-4.490263,-4.659750,-4.630336,-4.633893
2023-02-27,-4.901105,-4.579947,-4.559933,-4.567094
2023-02-28,-4.915714,-4.757328,-4.730665,-4.750693
2023-03-01,-4.660878,-4.833465,-4.800349,-4.819244
2023-03-02,-4.281439,-4.761173,-4.725939,-4.725911
2023-03-03,-4.995218,-4.496065,-4.486908,-4.487960
2023-03-06,-4.949751,-4.752109,-4.740648,-4.757346
2023-03-07,-4.330334,-4.839211,-4.817586,-4.842532
2023-03-08,-4.538398,-4.585630,-4.581899,-4.562587
2023-03-09,-4.022022,-4.574391,-4.542624,-4.567133
2023-03-10,-3.498248,-4.216949,-4.275999,-4.310877
2023-03-13,-3.434819,-3.901424,-3.902349,-3.999604
2023-03-14,-3.905881,-3.766807,-3.649360,-3.951351
2023-03-15,-3.934310,-3.874366,-3.810261,-4.014798
2023-03-16,-3.854514,-3.924525,-3.958563,-3.989937
2023-03-17,-4.136367,-3.933264,-3.977316,-3.960897
2023-03-20,-4.176375,-4.060235,-4.112090,-4.054767
2023-03-21,-4.446092,-4.129057,-4.203600,-4.104018
2023-03-22,-4.261692,-4.345054,-4.387074,-4.284117
2023-03-23,-4.289539,-4.307688,-4.361411,-4.274707
2023-03-24,-4.165846,-4.317071,-4.355042,-4.255347
2023-03-27,-4.199439,-4.218458,-4.279497,-4.225266
2023-03-28,-4.492148,-4.210213,-4.267681,-4.194584
2023-03-29,-4.446423,-4.384606,-4.419840,-4.364579
2023-03-30,-4.409484,-4.442462,-4.470322,-4.403738
2023-03-31,-4.995260,-4.453097,-4.466382,-4.389703
2023-04-03,-4.511605,-4.750371,-4.735543,-4.686911
2023-04-04,-4.537379,-4.633761,-4.629277,-4.584263
2023-04-05,-4.386038,-4.624906,-4.587153,-4.530018
2023-04-06,-4.900351,-4.464903,-4.472106,-4.503796
2023-04-10,-4.684586,-4.716306,-4.705007,-4.708362
2023-04-11,-4.992272,-4.712566,-4.685634,-4.689507
2023-04-12,-4.596638,-4.869981,-4.833958,-4.850799
2023-04-13,-4.788800,-4.717531,-4.687750,-4.696599
2023-04-14,-4.027789,-4.779834,-4.734008,-4.718768
2023-04-17,-4.360135,-4.338400,-4.347045,-4.363904
2023-04-18,-4.688512,-4.348690,-4.369875,-4.367901
2023-04-19,-4.846216,-4.517612,-4.545534,-4.617886
2023-04-20,-4.848922,-4.742814,-4.721256,-4.729246
2023-04-21,-4.698583,-4.818881,-4.780759,-4.756203
2023-04-24,-5.000556,-4.765785,-4.725564,-4.721113
2023-04-25,-4.721959,-4.869844,-4.835637,-4.784593
2023-04-26,-4.441447,-4.786055,-4.750125,-4.747994
2023-04-27,-4.730653,-4.615780,-4.588314,-4.571602
2023-04-28,-4.666987,-4.677758,-4.650963,-4.704506
2023-05-01,-4.275632,-4.673551,-4.650293,-4.686813
2023-05-02,-4.213557,-4.465289,-4.464386,-4.436377
2023-05-03,-4.576588,-4.307877,-4.334307,-4.355660
2023-05-04,-4.104600,-4.451698,-4.478383,-4.505938
2023-05-05,-4.330812,-4.256956,-4.297134,-4.265199
2023-05-08,-4.583136,-4.316734,-4.348983,-4.323739
2023-05-09,-4.717424,-4.460274,-4.479819,-4.492214
2023-05-10,-4.605617,-4.644321,-4.626263,-4.562452
2023-05-11,-4.479638,-4.651703,-4.623607,-4.572587
2023-05-12,-4.616280,-4.568805,-4.551208,-4.513927
2023-05-15,-4.762251,-4.602012,-4.584700,-4.543301
2023-05-16,-4.651502,-4.698151,-4.671103,-4.663491
2023-05-17,-4.484584,-4.691641,-4.658726,-4.659620
2023-05-18,-4.647724,-4.589135,-4.568059,-4.563892
2023-05-19,-4.420679,-4.628271,-4.607027,-4.607869
2023-05-22,-4.374240,-4.508835,-4.502340,-4.507021
2023-05-23,-4.413673,-4.442965,-4.447412,-4.426028
2023-05-24,-4.582740,-4.418386,-4.432686,-4.448941
2023-05-25,-4.725750,-4.527519,-4.527480,-4.511674
2023-05-26,-4.764391,-4.661150,-4.639468,-4.622684
2023-05-30,-4.499998,-4.738472,-4.703574,-4.688217
2023-05-31,-4.404323,-4.618898,-4.594346,-4.566916
2023-06-01,-4.433777,-4.501822,-4.494221,-4.463181
2023-06-02,-4.652958,-4.452561,-4.459465,-4.459410
2023-06-05,-4.671153,-4.579189,-4.571908,-4.572789
2023-06-06,-4.915228,-4.652369,-4.627845,-4.637783
2023-06-07,-4.655587,-4.803800,-4.771679,-4.765372
2023-06-08,-5.151167,-4.729985,-4.694376,-4.690909
2023-06-09,-4.715828,-4.908289,-4.889655,-4.861825
2023-06-12,-4.662059,-4.790690,-4.767049,-4.783455
2023-06-13,-4.740325,-4.747076,-4.710920,-4.696228
2023-06-14,-4.537738,-4.727249,-4.694111,-4.741820
2023-06-15,-4.842920,-4.625138,-4.605487,-4.629443
2023-06-16,-5.012285,-4.751803,-4.719841,-4.746711
2023-06-20,-4.881365,-4.857635,-4.832134,-4.892446
2023-06-21,-4.663333,-4.864043,-4.835950,-4.845840
2023-06-22,-4.709885,-4.760519,-4.730418,-4.734732
2023-06-23,-4.861315,-4.732458,-4.696629,-4.726142
2023-06-26,-4.807169,-4.787757,-4.754178,-4.789866
2023-06-27,-5.010924,-4.797164,-4.762766,-4.810019
2023-06-28,-4.900019,-4.884809,-4.856080,-4.902596
2023-06-29,-4.342076,-4.868210,-4.840239,-4.879790
2023-06-30,-4.747399,-4.581522,-4.577210,-4.575148
2023-07-03,-4.985746,-4.679309,-4.650294,-4.680770
2023-07-05,-4.954682,-4.805381,-4.784905,-4.840824
2023-07-06,-4.672252,-4.880339,-4.853266,-4.880383
2023-07-07,-5.065536,-4.773080,-4.745742,-4.776077
2023-07-10,-4.938303,-4.889681,-4.862374,-4.897351
2023-07-11,-4.782543,-4.877980,-4.852583,-4.866774
2023-07-12,-4.428398,-4.831063,-4.800897,-4.824870
2023-07-13,-4.884270,-4.600692,-4.586120,-4.624081
2023-07-14,-4.065681,-4.756622,-4.704931,-4.790362
2023-07-17,-4.559783,-4.341215,-4.390389,-4.370626
2023-07-18,-4.930049,-4.506472,-4.469354,-4.528509
2023-07-19,-4.732601,-4.704413,-4.707829,-4.771012
2023-07-20,-5.071799,-4.757184,-4.730508,-4.687807
2023-07-21,-4.848460,-4.903988,-4.859953,-4.804371
2023-07-24,-4.757714,-4.848533,-4.821337,-4.843407
2023-07-25,-4.724183,-4.808661,-4.762852,-4.712201
2023-07-26,-4.831513,-4.756003,-4.711776,-4.724107
2023-07-27,-4.705059,-4.792009,-4.745714,-4.795723
2023-07-28,-5.231680,-4.744915,-4.709775,-4.725455
2023-07-31,-4.889621,-4.935181,-4.908510,-4.986575
2023-08-01,-5.194043,-4.880041,-4.865247,-4.871544
2023-08-02,-4.761773,-4.981611,-4.957865,-4.973754
2023-08-03,-4.933614,-4.833909,-4.819173,-4.823736
2023-08-04,-4.793869,-4.883470,-4.828558,-4.874027
2023-08-07,-4.950713,-4.808791,-4.773193,-4.795549
2023-08-08,-4.483647,-4.871616,-4.823838,-4.897714
2023-08-09,-4.775107,-4.645831,-4.638104,-4.657888
2023-08-10,-4.742257,-4.740358,-4.680389,-4.759020
2023-08-11,-4.966407,-4.725311,-4.697080,-4.730968
2023-08-14,-5.043877,-4.852016,-4.815898,-4.862689
2023-08-15,-4.649863,-4.909881,-4.885090,-4.907078
2023-08-16,-4.824596,-4.776034,-4.744905,-4.760386
2023-08-17,-4.633602,-4.807718,-4.758015,-4.757373
2023-08-18,-4.732842,-4.698690,-4.667246,-4.708586
2023-08-21,-4.817127,-4.734580,-4.693500,-4.718972
2023-08-22,-4.645823,-4.771416,-4.735535,-4.795617
2023-08-23,-4.813068,-4.714264,-4.679313,-4.710058
2023-08-24,-4.585962,-4.774979,-4.732853,-4.752104
2023-08-25,-4.489311,-4.669119,-4.641354,-4.671226
2023-08-28,-4.939350,-4.584646,-4.562815,-4.551223
2023-08-29,-4.898524,-4.762094,-4.741506,-4.792739
2023-08-30,-4.863022,-4.827834,-4.797521,-4.830748
2023-08-31,-4.942042,-4.853574,-4.813042,-4.807007
2023-09-01,-4.984647,-4.875396,-4.837490,-4.860374
2023-09-05,-4.542175,-4.898140,-4.866483,-4.887131
2023-09-06,-4.950109,-4.707981,-4.680511,-4.671759
2023-09-07,-5.043717,-4.831735,-4.788480,-4.850571
2023-09-08,-5.061355,-4.888034,-4.865915,-4.919945
2023-09-11,-4.855879,-4.941108,-4.922106,-4.956299
2023-09-12,-4.733636,-4.878955,-4.847690,-4.872128
2023-09-13,-4.763624,-4.801287,-4.757324,-4.799367
2023-09-14,-4.730257,-4.767257,-4.732059,-4.763009
2023-09-15,-4.839644,-4.742279,-4.709658,-4.765833
2023-09-18,-5.119803,-4.792912,-4.757066,-4.821609
2023-09-19,-4.961515,-4.912056,-4.892064,-4.960789
2023-09-20,-4.773701,-4.903504,-4.888444,-4.910964
2023-09-21,-4.513244,-4.828018,-4.807556,-4.805072
2023-09-22,-4.550704,-4.645054,-4.630236,-4.654636
2023-09-25,-4.597827,-4.596224,-4.577138,-4.609588
2023-09-26,-4.671582,-4.598598,-4.582366,-4.632428
2023-09-27,-4.524136,-4.656376,-4.631698,-4.682704
2023-09-28,-4.571494,-4.590718,-4.576826,-4.603668
2023-09-29,-4.640681,-4.597945,-4.579576,-4.589067
2023-10-02,-4.545035,-4.629696,-4.608855,-4.617286
2023-10-03,-4.624396,-4.593885,-4.578716,-4.569868
2023-10-04,-4.663163,-4.629808,-4.607134,-4.610651
2023-10-05,-4.407676,-4.656615,-4.631996,-4.650211
2023-10-06,-4.437592,-4.518270,-4.518231,-4.493373
2023-10-09,-4.726368,-4.485888,-4.486738,-4.477509
2023-10-10,-4.716536,-4.629661,-4.615692,-4.646224
2023-10-11,-4.673473,-4.693181,-4.666450,-4.667999
2023-10-12,-4.642399,-4.702713,-4.672792,-4.662690
2023-10-13,-3.716556,-4.676089,-4.648376,-4.655696
2023-10-16,-4.331904,-4.129190,-4.199162,-4.081995
2023-10-17,-4.500339,-4.246789,-4.247716,-4.309336
2023-10-18,-4.416535,-4.369116,-4.431187,-4.494221
2023-10-19,-4.342321,-4.442649,-4.467953,-4.413571
2023-10-20,-4.303984,-4.396849,-4.422767,-4.428499
2023-10-23,-4.556210,-4.340847,-4.379682,-4.373136
2023-10-24,-4.745828,-4.485722,-4.487544,-4.436884
2023-10-25,-4.878774,-4.651338,-4.633195,-4.616294
2023-10-26,-4.529273,-4.789038,-4.747097,-4.734984
2023-10-27,-4.368143,-4.646011,-4.636370,-4.594385
2023-10-30,-4.582109,-4.492826,-4.489854,-4.454398
2023-10-31,-4.783922,-4.544895,-4.526951,-4.546534
2023-11-01,-4.570422,-4.685880,-4.659558,-4.676519
2023-11-02,-4.616792,-4.636130,-4.622514,-4.613201
2023-11-03,-4.693017,-4.646753,-4.607912,-4.635288
2023-11-06,-4.864376,-4.672726,-4.639071,-4.653882
2023-11-07,-5.031573,-4.779785,-4.733340,-4.736177
2023-11-08,-4.763367,-4.883747,-4.841556,-4.847203
2023-11-09,-4.702770,-4.809042,-4.779347,-4.781295
2023-11-10,-5.047102,-4.757519,-4.707744,-4.709787
2023-11-13,-4.945960,-4.869909,-4.818415,-4.860402
2023-11-14,-4.738962,-4.877852,-4.845255,-4.861065
2023-11-15,-4.898074,-4.800528,-4.767879,-4.791183
2023-11-16,-4.879413,-4.836324,-4.792628,-4.857950
2023-11-17,-5.077389,-4.831440,-4.796878,-4.834877
2023-11-20,-4.895341,-4.917187,-4.891183,-4.927426
2023-11-21,-5.024264,-4.872484,-4.848145,-4.892229
2023-11-22,-5.202669,-4.916801,-4.887095,-4.937522
2023-11-24,-5.558822,-4.969649,-4.964851,-4.986937
2023-11-27,-5.261510,-5.058923,-5.120170,-5.164219
2023-11-28,-5.100163,-5.035279,-5.094562,-5.079406
2023-11-29,-4.856438,-4.996692,-5.019655,-5.044800
2023-11-30,-4.956418,-4.885564,-4.868145,-4.908991
2023-12-01,-4.928064,-4.889795,-4.853174,-4.938541
2023-12-04,-4.766515,-4.870348,-4.838812,-4.921664
2023-12-05,-4.809864,-4.804118,-4.769466,-4.859112
2023-12-06,-4.884886,-4.799965,-4.756272,-4.843203
2023-12-07,-4.958998,-4.823531,-4.785299,-4.857414
2023-12-08,-5.039291,-4.868785,-4.835336,-4.882317
2023-12-11,-5.099700,-4.913749,-4.888703,-4.933396
2023-12-12,-4.976084,-4.947608,-4.933250,-4.970168
2023-12-13,-4.812809,-4.918211,-4.900337,-4.918824
2023-12-14,-4.503892,-4.843652,-4.812072,-4.844553
2023-12-15,-4.608864,-4.644414,-4.621216,-4.665614
2023-12-18,-4.928934,-4.636954,-4.613677,-4.666706
2023-12-19,-5.027016,-4.772788,-4.748733,-4.831920
2023-12-20,-4.769325,-4.876133,-4.855899,-4.919130
2023-12-21,-4.931621,-4.812966,-4.797604,-4.814365
2023-12-22,-5.251427,-4.860896,-4.835650,-4.856649
2023-12-26,-5.530211,-4.956756,-4.960131,-4.973537
2023-12-27,-5.332298,-5.051407,-5.114777,-5.120177
2023-12-28,-5.370128,-5.049983,-5.126215,-5.097647
2023-12-29,-5.685389,-5.059252,-5.134992,-5.128737
2024-01-02,-5.014219,-5.094417,-5.207735,-5.201950
2024-01-03,-4.862742,-4.974762,-5.047997,-5.056918
2024-01-04,-5.038724,-4.907795,-4.917598,-4.952931
