date,actual,fnn,lstm,nar
2022-08-26,-3.548808,-4.328938,-4.326127,-4.334611
2022-08-29,-3.929379,-3.925954,-3.926019,-3.831808
2022-08-30,-3.890972,-3.938694,-3.939985,-3.964403
2022-08-31,-3.972064,-3.898464,-3.916897,-3.982337
2022-09-01,-3.823643,-3.972713,-3.991555,-3.912804
2022-09-02,-3.635696,-3.899247,-3.920250,-3.901006
2022-09-06,-3.964588,-3.794608,-3.790533,-3.758964
2022-09-07,-4.186072,-3.923527,-3.924228,-3.917500
2022-09-08,-3.826750,-4.090793,-4.107488,-4.064849
2022-09-09,-4.358393,-3.951674,-3.980654,-3.891418
2022-09-12,-4.322269,-4.237256,-4.226367,-4.216370
2022-09-13,-4.220552,-4.283644,-4.291606,-4.285638
2022-09-14,-4.023776,-4.282045,-4.280732,-4.202703
2022-09-15,-3.892079,-4.122931,-4.141849,-4.140692
2022-09-16,-3.914047,-3.985383,-4.008136,-3.972984
2022-09-19,-4.216972,-3.948799,-3.968038,-3.954219
2022-09-20,-4.186702,-4.127752,-4.136444,-4.112670
2022-09-21,-3.333692,-4.171866,-4.188756,-4.143970
2022-09-22,-3.737369,-3.791737,-3.752815,-3.697693
2022-09-23,-3.927533,-3.798808,-3.770425,-3.822147
2022-09-26,-3.805218,-3.884367,-3.882802,-3.921085
2022-09-27,-3.839186,-3.869524,-3.875732,-3.820139
2022-09-28,-3.993041,-3.881973,-3.887392,-3.873644
2022-09-29,-3.961284,-3.957487,-3.974111,-3.931621
2022-09-30,-4.003237,-3.969151,-3.994807,-3.955378
2022-10-03,-3.977448,-4.002056,-4.028578,-3.983718
2022-10-04,-4.117916,-3.992388,-4.020096,-3.981707
2022-10-05,-3.921663,-4.075125,-4.101611,-4.052737
2022-10-06,-3.933219,-3.987436,-4.017964,-3.976613
2022-10-07,-4.095981,-3.968364,-3.992108,-3.947841
2022-10-10,-3.923850,-4.044313,-4.069479,-4.051608
2022-10-11,-3.798404,-3.978880,-4.008514,-3.952239
2022-10-12,-3.862711,-3.898538,-3.912078,-3.881834
2022-10-13,-3.344773,-3.892080,-3.899230,-3.893118
2022-10-14,-3.518424,-3.708205,-3.610192,-3.680866
2022-10-17,-3.944082,-3.707216,-3.598437,-3.699003
2022-10-18,-3.843539,-3.872812,-3.839324,-3.848428
2022-10-19,-3.774670,-3.874234,-3.881079,-3.819183
2022-10-20,-3.830393,-3.859426,-3.860681,-3.837977
2022-10-21,-3.932336,-3.866818,-3.866157,-3.860256
2022-10-24,-3.821282,-3.920785,-3.932592,-3.905797
2022-10-25,-4.011068,-3.885540,-3.896290,-3.871261
2022-10-26,-3.674937,-3.975353,-3.993510,-3.949655
2022-10-27,-3.438030,-3.824544,-3.874722,-3.804988
2022-10-28,-3.472553,-3.694906,-3.694301,-3.675677
2022-10-31,-3.782857,-3.660275,-3.606062,-3.651691
2022-11-01,-3.759016,-3.781657,-3.733547,-3.727753
2022-11-02,-3.324386,-3.802463,-3.810132,-3.753551
2022-11-03,-3.500475,-3.657424,-3.640178,-3.614126
2022-11-04,-3.304893,-3.664142,-3.599189,-3.652924
2022-11-07,-3.939796,-3.605011,-3.510591,-3.571124
2022-11-08,-3.870112,-3.853829,-3.773422,-3.779181
2022-11-09,-3.961434,-3.872771,-3.893167,-3.858284
2022-11-10,-3.205958,-3.956936,-3.985298,-3.895509
2022-11-11,-3.703764,-3.666532,-3.658537,-3.648039
2022-11-14,-3.811717,-3.742798,-3.684088,-3.746842
2022-11-15,-3.570944,-3.809679,-3.787333,-3.827862
2022-11-16,-4.039157,-3.738137,-3.754591,-3.692839
2022-11-17,-3.943660,-3.946714,-3.924586,-3.940599
2022-11-18,-4.046696,-3.948039,-3.986449,-3.929629
2022-11-21,-3.919515,-4.032779,-4.060313,-4.004830
2022-11-22,-3.990632,-3.969102,-4.017633,-3.984550
2022-11-23,-4.056543,-3.994116,-4.026370,-3.955055
2022-11-25,-4.355394,-4.037049,-4.065857,-4.038281
2022-11-28,-3.958756,-4.253104,-4.242454,-4.209160
2022-11-29,-4.064298,-4.083566,-4.119926,-4.058713
2022-11-30,-3.732704,-4.080781,-4.085833,-4.056586
2022-12-01,-3.889236,-3.877259,-3.901266,-3.912688
2022-12-02,-4.172307,-3.900331,-3.889707,-3.886207
