date,actual,arfimax
2022-11-16,-4.278353,-4.039956
2022-11-17,-4.263254,-4.112890
2022-11-18,-4.176494,-4.186854
2022-11-21,-4.535163,-4.206699
2022-11-22,-4.623396,-4.327238
2022-11-23,-4.435892,-4.438837
2022-11-25,-4.919368,-4.461964
2022-11-28,-4.578270,-4.579067
2022-11-29,-4.045314,-4.434551
2022-11-30,-3.882545,-4.314907
2022-12-01,-4.292940,-4.267117
2022-12-02,-4.416914,-4.309667
2022-12-05,-4.103941,-4.412026
2022-12-06,-4.332896,-4.216880
2022-12-07,-4.126814,-4.184962
2022-12-08,-4.225574,-4.151249
2022-12-09,-4.251798,-4.231800
2022-12-12,-4.317647,-4.182634
2022-12-13,-3.791991,-4.156447
2022-12-14,-3.516569,-4.115094
2022-12-15,-4.232216,-4.010292
2022-12-16,-3.953650,-4.040984
2022-12-19,-4.222369,-4.035368
2022-12-20,-4.037200,-4.134357
2022-12-21,-4.102197,-4.148936
2022-12-22,-4.154108,-4.249318
2022-12-23,-4.072396,-4.093866
2022-12-27,-4.407770,-4.173458
2022-12-28,-4.089726,-4.211710
2022-12-29,-4.390671,-4.140275
2022-12-30,-4.336508,-4.269313
2023-01-03,-3.806268,-4.265763
2023-01-04,-3.934900,-4.028727
2023-01-05,-4.182428,-4.067297
2023-01-06,-3.873386,-4.090254
2023-01-09,-4.451607,-4.090872
2023-01-10,-4.142225,-4.136013
2023-01-11,-4.426318,-4.217768
2023-01-12,-3.883984,-4.255577
2023-01-13,-4.698504,-4.221547
2023-01-17,-4.191503,-4.405826
2023-01-18,-4.348665,-4.266951
2023-01-19,-4.234413,-4.206965
2023-01-20,-4.496131,-4.216804
2023-01-23,-4.295242,-4.360320
2023-01-24,-4.369955,-4.314243
2023-01-25,-4.241924,-4.327205
2023-01-26,-4.314743,-4.297775
2023-01-27,-4.376705,-4.336345
2023-01-30,-4.349423,-4.348319
2023-01-31,-4.237340,-4.238613
2023-02-01,-3.946226,-4.274503
2023-02-02,-4.207069,-4.249979
2023-02-03,-3.616971,-4.217145
