date,actual,lstar
2022-12-16,-4.469618,-4.371255
2022-12-19,-4.359864,-4.514214
2022-12-20,-4.586896,-4.424197
2022-12-21,-4.720639,-4.606505
2022-12-22,-4.630609,-4.705724
2022-12-23,-4.499237,-4.639702
2022-12-27,-4.754422,-4.537934
2022-12-28,-4.661084,-4.729616
2022-12-29,-4.997603,-4.662417
2022-12-30,-4.578950,-4.880403
2023-01-03,-4.212465,-4.596382
2023-01-04,-4.432430,-4.301799
2023-01-05,-4.561595,-4.483040
2023-01-06,-4.487596,-4.583302
2023-01-09,-4.624189,-4.526475
2023-01-10,-4.621226,-4.630015
2023-01-11,-4.562871,-4.627833
2023-01-12,-4.534381,-4.584268
2023-01-13,-3.925725,-4.562601
2023-01-17,-4.589508,-4.050237
2023-01-18,-4.499313,-4.604292
2023-01-19,-4.642059,-4.535585
2023-01-20,-4.566021,-4.643114
2023-01-23,-4.616528,-4.586648
2023-01-24,-4.415509,-4.624367
2023-01-25,-4.799810,-4.469543
2023-01-26,-4.663392,-4.753965
2023-01-27,-4.690953,-4.658610
2023-01-30,-4.959747,-4.678401
2023-01-31,-4.827664,-4.857284
2023-02-01,-4.269960,-4.772621
2023-02-02,-4.296691,-4.349825
2023-02-03,-4.400042,-4.371621
2023-02-06,-4.782384,-4.454362
2023-02-07,-4.439666,-4.737524
2023-02-08,-4.518050,-4.485421
2023-02-09,-4.682647,-4.545738
2023-02-10,-4.727879,-4.667332
2023-02-13,-4.860139,-4.699499
2023-02-14,-4.481869,-4.790354
2023-02-15,-4.766177,-4.518085
2023-02-16,-4.768774,-4.726302
2023-02-17,-4.616005,-4.728105
2023-02-21,-4.652274,-4.618948
2023-02-22,-4.707154,-4.645425
2023-02-23,-4.596800,-4.684829
2023-02-24,-4.490263,-4.604788
2023-02-27,-4.901105,-4.524529
2023-02-28,-4.915714,-4.817508
2023-03-01,-4.660878,-4.827078
2023-03-02,-4.281439,-4.651656
2023-03-03,-4.995218,-4.359205
2023-03-06,-4.949751,-4.878092
2023-03-07,-4.330334,-4.849500
2023-03-08,-4.538398,-4.398385
2023-03-09,-4.022022,-4.561106
2023-03-10,-3.498248,-4.139221
2023-03-13,-3.434819,-3.659483
2023-03-14,-3.905881,-3.598731
2023-03-15,-3.934310,-4.036688
2023-03-16,-3.854514,-4.062012
2023-03-17,-4.136367,-3.990574
2023-03-20,-4.176375,-4.237660
2023-03-21,-4.446092,-4.271477
2023-03-22,-4.261692,-4.490221
2023-03-23,-4.289539,-4.342453
2023-03-24,-4.165846,-4.365272
2023-03-27,-4.199439,-4.262610
2023-03-28,-4.492148,-4.290819
2023-03-29,-4.446423,-4.525856
2023-03-30,-4.409484,-4.490479
2023-03-31,-4.995260,-4.461525
2023-04-03,-4.511605,-4.878498
2023-04-04,-4.537379,-4.540752
2023-04-05,-4.386038,-4.560335
2023-04-06,-4.900351,-4.440982
2023-04-10,-4.684586,-4.816405
2023-04-11,-4.992272,-4.667692
2023-04-12,-4.596638,-4.875714
2023-04-13,-4.788800,-4.603344
2023-04-14,-4.027789,-4.741169
2023-04-17,-4.360135,-4.141010
2023-04-18,-4.688512,-4.420248
2023-04-19,-4.846216,-4.670515
2023-04-20,-4.848922,-4.780338
2023-04-21,-4.698583,-4.782161
2023-04-24,-5.000556,-4.677737
2023-04-25,-4.721959,-4.880940
2023-04-26,-4.441447,-4.694392
2023-04-27,-4.730653,-4.484789
