date,actual,lstar
2022-12-16,-3.916920,-4.094498
2022-12-19,-4.022465,-3.983734
2022-12-20,-3.772322,-4.079133
2022-12-21,-4.091257,-3.859486
2022-12-22,-4.123752,-4.142694
2022-12-23,-3.847408,-4.172954
2022-12-27,-4.196425,-3.922902
2022-12-28,-4.128685,-4.240900
2022-12-29,-4.381815,-4.177557
2022-12-30,-4.173357,-4.410003
2023-01-03,-3.729095,-4.217042
2023-01-04,-3.678039,-3.826342
2023-01-05,-4.214010,-3.786575
2023-01-06,-3.800307,-4.254885
2023-01-09,-4.122268,-3.884092
2023-01-10,-3.884835,-4.169611
2023-01-11,-4.077293,-3.955706
2023-01-12,-3.638226,-4.128098
2023-01-13,-4.144511,-3.756587
2023-01-17,-4.082237,-4.190235
2023-01-18,-3.780875,-4.132647
2023-01-19,-3.988962,-3.868084
2023-01-20,-4.151736,-4.047679
2023-01-23,-4.116930,-4.196944
2023-01-24,-4.023199,-4.164670
2023-01-25,-3.792770,-4.078637
2023-01-26,-3.881968,-3.877861
2023-01-27,-4.041961,-3.953228
2023-01-30,-4.065077,-4.095723
2023-01-31,-4.100032,-4.116878
2023-02-01,-3.582110,-4.149050
2023-02-02,-3.606137,-3.719218
2023-02-03,-3.343241,-3.736107
2023-02-06,-3.841461,-3.570587
2023-02-07,-3.614874,-3.918167
2023-02-08,-3.924544,-3.742333
2023-02-09,-3.870822,-3.988675
2023-02-10,-4.011932,-3.942766
2023-02-13,-4.231695,-4.065514
2023-02-14,-3.837485,-4.266217
2023-02-15,-3.963010,-3.914864
2023-02-16,-4.082090,-4.022197
2023-02-17,-4.098121,-4.128741
2023-02-21,-4.434834,-4.143337
2023-02-22,-4.064904,-4.452244
2023-02-23,-4.239179,-4.113150
2023-02-24,-4.041982,-4.273134
2023-02-27,-4.233878,-4.092453
2023-02-28,-4.547449,-4.268235
2023-03-01,-4.093678,-4.551348
2023-03-02,-4.274806,-4.139287
2023-03-03,-4.263659,-4.306052
2023-03-06,-4.197879,-4.295756
2023-03-07,-3.881962,-4.234986
2023-03-08,-4.226458,-3.955780
2023-03-09,-4.009153,-4.260970
2023-03-10,-3.756748,-4.065614
2023-03-13,-3.402057,-3.852899
2023-03-14,-3.894961,-3.599484
2023-03-15,-3.713422,-3.966783
2023-03-16,-3.798110,-3.818750
2023-03-17,-3.877139,-3.886225
2023-03-20,-3.883322,-3.951712
2023-03-21,-4.293896,-3.956929
2023-03-22,-3.753176,-4.322318
2023-03-23,-4.010924,-3.850054
2023-03-24,-4.147851,-4.067174
2023-03-27,-4.255990,-4.189622
2023-03-28,-4.364693,-4.287842
2023-03-29,-4.215063,-4.386471
2023-03-30,-4.336173,-4.250606
2023-03-31,-4.613567,-4.360683
2023-04-03,-4.255463,-4.603930
2023-04-04,-4.191786,-4.287362
2023-04-05,-4.349456,-4.229452
2023-04-06,-4.390240,-4.368846
2023-04-10,-4.386770,-4.405639
2023-04-11,-4.560682,-4.402516
2023-04-12,-4.156348,-4.556083
2023-04-13,-4.290924,-4.193949
2023-04-14,-4.020344,-4.315810
2023-04-17,-4.518544,-4.072930
2023-04-18,-4.378378,-4.519572
2023-04-19,-4.280105,-4.394957
2023-04-20,-4.322268,-4.305994
2023-04-21,-4.279240,-4.344234
2023-04-24,-4.079377,-4.305208
