date,actual,enn,jnn
2022-09-28,-3.993041,-4.248583,-3.875640
2022-09-29,-3.961284,-4.253692,-3.952505
2022-09-30,-4.003237,-4.253248,-3.964907
2022-10-03,-3.977448,-4.254533,-3.994984
2022-10-04,-4.117916,-4.253818,-3.986153
2022-10-05,-3.921663,-4.258881,-4.068623
2022-10-06,-3.933219,-4.252418,-3.981160
2022-10-07,-4.095981,-4.251939,-3.958395
2022-10-10,-3.923850,-4.257853,-4.037820
2022-10-11,-3.798404,-4.252411,-3.973249
2022-10-12,-3.862711,-4.247838,-3.886553
2022-10-13,-3.344773,-4.249259,-3.885817
2022-10-14,-3.518424,-4.238256,-3.696458
2022-10-17,-3.944082,-4.239225,-3.713022
2022-10-18,-3.843539,-4.250739,-3.874500
2022-10-19,-3.774670,-4.249325,-3.877523
2022-10-20,-3.830393,-4.246903,-3.852003
2022-10-21,-3.932336,-4.248217,-3.862749
2022-10-24,-3.821282,-4.251607,-3.917092
2022-10-25,-4.011068,-4.248595,-3.880516
2022-10-26,-3.674937,-4.254230,-3.967779
2022-10-27,-3.438030,-4.233578,-3.821187
2022-10-28,-3.472553,-4.227336,-3.708034
2022-10-31,-3.782857,-4.227152,-3.696023
2022-11-01,-3.759016,-4.234368,-3.798565
2022-11-02,-3.324386,-4.234906,-3.814603
2022-11-03,-3.500475,-4.225914,-3.677561
2022-11-04,-3.304893,-4.227274,-3.700149
2022-11-07,-3.939796,-4.224758,-3.654676
2022-11-08,-3.870112,-4.238579,-3.857769
2022-11-09,-3.961434,-4.238811,-3.879389
2022-11-10,-3.205958,-4.241481,-3.946042
2022-11-11,-3.703764,-4.225114,-3.667027
2022-11-14,-3.811717,-4.231319,-3.763371
2022-11-15,-3.570944,-4.236075,-3.824272
2022-11-16,-4.039157,-4.230438,-3.751806
2022-11-17,-3.943660,-4.243058,-3.937877
2022-11-18,-4.046696,-4.241630,-3.943506
2022-11-21,-3.919515,-4.244836,-4.017486
2022-11-22,-3.990632,-4.240789,-3.957248
2022-11-23,-4.056543,-4.242682,-3.980234
2022-11-25,-4.355394,-4.245440,-4.022778
2022-11-28,-3.958756,-4.258479,-4.239298
2022-11-29,-4.064298,-4.223890,-4.068048
2022-11-30,-3.732704,-4.226094,-4.063043
2022-12-01,-3.889236,-4.215566,-3.861499
2022-12-02,-4.172307,-4.218956,-3.889655
2022-12-05,-4.171495,-4.230415,-4.052800
2022-12-06,-4.082736,-4.231629,-4.132946
2022-12-07,-3.875302,-4.227829,-4.110214
2022-12-08,-3.851716,-4.219881,-3.959673
2022-12-09,-4.167696,-4.218313,-3.895435
2022-12-12,-4.263175,-4.230031,-4.053037
2022-12-13,-3.578194,-4.235688,-4.188293
2022-12-14,-3.482642,-4.212283,-3.848002
2022-12-15,-4.039179,-4.207764,-3.719152
2022-12-16,-3.916920,-4.223334,-3.914844
2022-12-19,-4.022465,-4.221255,-3.919579
2022-12-20,-3.772322,-4.224442,-3.993240
2022-12-21,-4.091257,-4.216542,-3.869645
2022-12-22,-4.123752,-4.226502,-4.003599
2022-12-23,-3.847408,-4.229279,-4.069608
2022-12-27,-4.196425,-4.219178,-3.945085
2022-12-28,-4.128685,-4.231185,-4.092666
2022-12-29,-4.381815,-4.229932,-4.106977
2022-12-30,-4.173357,-4.229383,-4.311480
2023-01-03,-3.729095,-4.221050,-4.238964
2023-01-04,-3.678039,-4.204553,-3.931421
2023-01-05,-4.214010,-4.201702,-3.802470
2023-01-06,-3.800307,-4.219866,-4.047153
2023-01-09,-4.122268,-4.207037,-3.908075
2023-01-10,-3.884835,-4.216459,-4.051758
2023-01-11,-4.077293,-4.209285,-3.943554
2023-01-12,-3.638226,-4.215073,-4.033525
2023-01-13,-4.144511,-4.202131,-3.819240
2023-01-17,-4.082237,-4.216738,-4.021456
2023-01-18,-3.780875,-4.216489,-4.052176
2023-01-19,-3.988962,-4.205819,-3.911017
2023-01-20,-4.151736,-4.211366,-3.956571
2023-01-23,-4.116930,-4.218591,-4.071034
2023-01-24,-4.023199,-4.217824,-4.111412
2023-01-25,-3.792770,-4.213971,-4.061840
2023-01-26,-3.881968,-4.205952,-3.901682
2023-01-27,-4.041961,-4.207808,-3.896565
2023-01-30,-4.065077,-4.213796,-3.983348
2023-01-31,-4.100032,-4.215341,-4.038386
2023-02-01,-3.582110,-4.216760,-4.083259
2023-02-02,-3.606137,-4.187871,-3.818529
2023-02-03,-3.343241,-4.186486,-3.774419
2023-02-06,-3.841461,-4.181691,-3.703782
2023-02-07,-3.614874,-4.192011,-3.831862
2023-02-08,-3.924544,-4.187777,-3.778373
2023-02-09,-3.870822,-4.195711,-3.888706
2023-02-10,-4.011932,-4.195232,-3.890099
2023-02-13,-4.231695,-4.199858,-3.968481
2023-02-14,-3.837485,-4.209460,-4.125129
2023-02-15,-3.963010,-4.195307,-3.954331
2023-02-16,-4.082090,-4.197833,-3.959850
2023-02-17,-4.098121,-4.202968,-4.018700
2023-02-21,-4.434834,-4.204096,-4.065351
2023-02-22,-4.064904,-4.219346,-4.312272
2023-02-23,-4.239179,-4.204150,-4.163661
2023-02-24,-4.041982,-4.209785,-4.216682
2023-02-27,-4.233878,-4.202504,-4.083566
2023-02-28,-4.547449,-4.209561,-4.177363
2023-03-01,-4.093678,-4.225689,-4.428000
2023-03-02,-4.274806,-4.205634,-4.242152
2023-03-03,-4.263659,-4.211442,-4.268369
2023-03-06,-4.197879,-4.212001,-4.249810
2023-03-07,-3.881962,-4.202876,-4.237876
2023-03-08,-4.226458,-4.190259,-4.012459
2023-03-09,-4.009153,-4.202519,-4.132779
2023-03-10,-3.756748,-4.195118,-4.049140
2023-03-13,-3.402057,-4.185632,-3.893260
2023-03-14,-3.894961,-4.176644,-3.706499
2023-03-15,-3.713422,-4.187706,-3.844830
2023-03-16,-3.798110,-4.184161,-3.804576
2023-03-17,-3.877139,-4.185817,-3.838152
2023-03-20,-3.883322,-4.188682,-3.876615
2023-03-21,-4.293896,-4.189201,-3.896176
2023-03-22,-3.753176,-4.205694,-4.142023
2023-03-23,-4.010924,-4.186744,-3.920179
2023-03-24,-4.147851,-4.193049,-3.982073
2023-03-27,-4.255990,-4.199804,-4.067986
2023-03-28,-4.364693,-4.205116,-4.201876
2023-03-29,-4.215063,-4.210675,-4.328600
2023-03-30,-4.336173,-4.204069,-4.279435
2023-03-31,-4.613567,-4.208995,-4.329920
2023-04-03,-4.255463,-4.223684,-4.525906
