date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-07-13,-4.063240,-4.199460,-4.306515,-4.263445,-4.247979,-4.271188,-4.314735,-4.254361
2022-07-14,-3.886417,-4.063240,-4.202767,-4.185701,-4.168954,-4.151240,-4.198156,-4.154219
2022-07-15,-4.123756,-3.886417,-4.073949,-4.068769,-4.061478,-4.010080,-4.041649,-4.050839
2022-07-18,-3.983020,-4.123756,-4.138734,-4.162647,-4.157098,-4.078755,-4.100084,-4.121039
2022-07-19,-4.574581,-3.983020,-4.078555,-4.074738,-4.088531,-4.029517,-4.072506,-4.086275
2022-07-20,-4.339386,-4.574581,-4.361018,-4.373298,-4.380256,-4.374315,-4.393544,-4.363730
2022-07-21,-4.201454,-4.339386,-4.357031,-4.286522,-4.302440,-4.363433,-4.415493,-4.367888
2022-07-22,-4.241713,-4.201454,-4.279849,-4.245330,-4.241263,-4.308969,-4.340621,-4.238666
2022-07-25,-4.288970,-4.241713,-4.317598,-4.270149,-4.253968,-4.257421,-4.295867,-4.266476
2022-07-26,-4.334034,-4.288970,-4.312923,-4.310007,-4.277173,-4.270592,-4.325367,-4.244565
2022-07-27,-4.295223,-4.334034,-4.333729,-4.315828,-4.304043,-4.318470,-4.366534,-4.302967
2022-07-28,-4.345761,-4.295223,-4.329521,-4.296320,-4.290852,-4.314248,-4.361636,-4.313511
2022-07-29,-4.503969,-4.345761,-4.357568,-4.329413,-4.318120,-4.343549,-4.385212,-4.317665
2022-08-01,-4.063693,-4.503969,-4.449432,-4.420602,-4.403627,-4.451694,-4.478279,-4.414436
2022-08-02,-4.427928,-4.063693,-4.249994,-4.204570,-4.196470,-4.233046,-4.284927,-4.213071
2022-08-03,-4.373027,-4.427928,-4.379459,-4.379696,-4.357298,-4.362370,-4.395224,-4.335947
2022-08-04,-4.524128,-4.373027,-4.394391,-4.362398,-4.342247,-4.351079,-4.401183,-4.381869
2022-08-05,-4.034083,-4.524128,-4.446942,-4.444265,-4.425216,-4.495391,-4.509820,-4.436605
2022-08-08,-4.497598,-4.034083,-4.254613,-4.189965,-4.191797,-4.227428,-4.277592,-4.242122
2022-08-09,-4.627126,-4.497598,-4.414093,-4.428455,-4.397488,-4.401388,-4.428938,-4.362626
2022-08-10,-4.310381,-4.627126,-4.536912,-4.501806,-4.480894,-4.523584,-4.549765,-4.515486
2022-08-11,-4.418162,-4.310381,-4.384509,-4.354398,-4.345105,-4.441014,-4.462784,-4.381217
2022-08-12,-4.744001,-4.418162,-4.444330,-4.397517,-4.389916,-4.445934,-4.462020,-4.419414
2022-08-15,-4.710312,-4.744001,-4.616372,-4.595398,-4.556135,-4.615211,-4.620234,-4.593227
2022-08-16,-4.453806,-4.710312,-4.632585,-4.599735,-4.568132,-4.699108,-4.680937,-4.626892
2022-08-17,-4.649626,-4.453806,-4.534501,-4.474966,-4.456032,-4.590990,-4.581840,-4.540395
2022-08-18,-4.900540,-4.649626,-4.621724,-4.589613,-4.546067,-4.640862,-4.622148,-4.599101
2022-08-19,-4.791577,-4.900540,-4.758572,-4.737868,-4.684143,-4.775110,-4.755178,-4.740123
2022-08-22,-4.633127,-4.791577,-4.736428,-4.694711,-4.657994,-4.803199,-4.770517,-4.761377
2022-08-23,-4.564232,-4.633127,-4.678711,-4.620364,-4.589016,-4.734112,-4.701420,-4.696182
2022-08-24,-4.680203,-4.564232,-4.632591,-4.598245,-4.548614,-4.647646,-4.625733,-4.620911
2022-08-25,-4.526724,-4.680203,-4.654871,-4.655334,-4.599185,-4.673125,-4.625847,-4.652263
2022-08-26,-3.855291,-4.526724,-4.573421,-4.562724,-4.526347,-4.600751,-4.587279,-4.600338
2022-08-29,-4.575471,-3.855291,-4.204292,-4.194627,-4.176107,-4.194951,-4.277960,-4.199656
2022-08-30,-4.232865,-4.575471,-4.456098,-4.518491,-4.483871,-4.403222,-4.355553,-4.444088
2022-08-31,-4.222818,-4.232865,-4.331486,-4.341079,-4.325729,-4.270328,-4.339969,-4.387407
2022-09-01,-4.168926,-4.222818,-4.260560,-4.307422,-4.309656,-4.292012,-4.327448,-4.287141
2022-09-02,-4.138107,-4.168926,-4.274121,-4.257440,-4.269548,-4.199145,-4.249346,-4.288828
2022-09-06,-4.062976,-4.138107,-4.212471,-4.260602,-4.241698,-4.166144,-4.215379,-4.165822
2022-09-07,-4.371709,-4.062976,-4.162565,-4.189683,-4.192043,-4.109040,-4.161875,-4.131554
2022-09-08,-4.075060,-4.371709,-4.298930,-4.339803,-4.335269,-4.269036,-4.272624,-4.278496
2022-09-09,-4.504747,-4.075060,-4.191754,-4.193657,-4.196262,-4.157394,-4.231361,-4.171095
2022-09-12,-4.514873,-4.504747,-4.378525,-4.408838,-4.403752,-4.392163,-4.372771,-4.353694
2022-09-13,-4.279421,-4.514873,-4.465248,-4.439797,-4.425994,-4.464895,-4.473580,-4.455564
2022-09-14,-4.110312,-4.279421,-4.355208,-4.347475,-4.324376,-4.392956,-4.430039,-4.314539
2022-09-15,-4.088255,-4.110312,-4.271842,-4.249781,-4.233532,-4.226918,-4.284615,-4.226766
2022-09-16,-4.143678,-4.088255,-4.210410,-4.236433,-4.205305,-4.132597,-4.181753,-4.151663
2022-09-19,-4.381878,-4.143678,-4.195248,-4.234950,-4.219396,-4.133789,-4.171405,-4.159945
2022-09-20,-4.417866,-4.381878,-4.307711,-4.331531,-4.334581,-4.287066,-4.297316,-4.307353
2022-09-21,-3.643572,-4.417866,-4.370806,-4.353877,-4.364346,-4.381545,-4.401151,-4.375561
2022-09-22,-3.939810,-3.643572,-4.007425,-3.967630,-3.985155,-4.030869,-4.112240,-3.991796
2022-09-23,-4.178100,-3.939810,-4.051167,-4.085423,-4.092694,-3.986033,-3.976550,-4.017388
2022-09-26,-3.916887,-4.178100,-4.158353,-4.191977,-4.192178,-4.068604,-4.051786,-4.158085
2022-09-27,-4.036758,-3.916887,-4.012383,-4.038462,-4.067647,-4.016440,-4.054751,-4.054184
2022-09-28,-4.016226,-4.036758,-4.081116,-4.063243,-4.113392,-4.049800,-4.082391,-4.086825
2022-09-29,-4.054667,-4.016226,-4.091661,-4.080032,-4.098852,-4.029525,-4.069164,-4.057556
2022-09-30,-4.173138,-4.054667,-4.091496,-4.101450,-4.113965,-4.059281,-4.101539,-4.061111
2022-10-03,-4.184053,-4.173138,-4.169434,-4.153748,-4.173070,-4.126394,-4.178840,-4.136220
2022-10-04,-4.181608,-4.184053,-4.197063,-4.176142,-4.187838,-4.164980,-4.221519,-4.144650
2022-10-05,-4.147722,-4.181608,-4.212676,-4.184728,-4.192523,-4.185196,-4.237677,-4.167585
2022-10-06,-4.214205,-4.147722,-4.208639,-4.178331,-4.178835,-4.167202,-4.218965,-4.158897
2022-10-07,-4.380239,-4.214205,-4.237570,-4.219469,-4.211247,-4.196339,-4.248053,-4.180576
2022-10-10,-4.227888,-4.380239,-4.330776,-4.307258,-4.300294,-4.307930,-4.355737,-4.276194
2022-10-11,-4.027292,-4.227888,-4.284692,-4.243421,-4.243015,-4.271934,-4.318688,-4.247571
2022-10-12,-4.126172,-4.027292,-4.177431,-4.140418,-4.139274,-4.147120,-4.187819,-4.146080
2022-10-13,-3.575165,-4.126172,-4.195244,-4.180202,-4.168418,-4.125658,-4.171295,-4.146009
2022-10-14,-3.310003,-3.575165,-3.895656,-3.886227,-3.887463,-3.901638,-3.863511,-3.975357
2022-10-17,-3.970097,-3.310003,-3.648229,-3.688335,-3.694798,-3.787576,-3.570480,-3.893389
2022-10-18,-3.870767,-3.970097,-3.900640,-3.968282,-3.971740,-3.904298,-3.780841,-3.962172
