date,actual,lstar
2022-12-16,-3.953650,-4.295617
2022-12-19,-4.222369,-4.083382
2022-12-20,-4.037200,-4.288114
2022-12-21,-4.102197,-4.147037
2022-12-22,-4.154108,-4.196557
2022-12-23,-4.072396,-4.236107
2022-12-27,-4.407770,-4.173852
2022-12-28,-4.089726,-4.429368
2022-12-29,-4.390671,-4.187055
2022-12-30,-4.336508,-4.414173
2023-01-03,-3.806268,-4.373127
2023-01-04,-3.934900,-3.971296
2023-01-05,-4.182428,-4.068777
2023-01-06,-3.873386,-4.256361
2023-01-09,-4.451607,-4.022160
2023-01-10,-4.142225,-4.460352
2023-01-11,-4.426318,-4.225894
2023-01-12,-3.883984,-4.441187
2023-01-13,-4.698504,-4.030191
2023-01-17,-4.191503,-4.647841
2023-01-18,-4.348665,-4.263238
2023-01-19,-4.234413,-4.382340
2023-01-20,-4.496131,-4.295757
2023-01-23,-4.295242,-4.494094
2023-01-24,-4.369955,-4.341855
2023-01-25,-4.241924,-4.398474
2023-01-26,-4.314743,-4.301449
2023-01-27,-4.376705,-4.356633
2023-01-30,-4.349423,-4.403590
2023-01-31,-4.237340,-4.382914
2023-02-01,-3.946226,-4.297975
2023-02-02,-4.207069,-4.076368
2023-02-03,-3.616971,-4.271242
2023-02-06,-4.268379,-3.830384
2023-02-07,-3.954759,-4.317045
2023-02-08,-4.266057,-4.082743
2023-02-09,-4.314705,-4.315310
2023-02-10,-4.422898,-4.351655
2023-02-13,-4.679501,-4.432485
2023-02-14,-4.149080,-4.624244
2023-02-15,-4.317420,-4.227918
2023-02-16,-4.416322,-4.353684
2023-02-17,-4.423652,-4.427572
2023-02-21,-4.661120,-4.433048
2023-02-22,-4.288790,-4.610467
2023-02-23,-4.479335,-4.332294
2023-02-24,-4.675693,-4.474649
2023-02-27,-4.764465,-4.621382
2023-02-28,-4.923890,-4.745185
2023-03-01,-4.455407,-4.852230
2023-03-02,-4.629959,-4.456772
2023-03-03,-4.600824,-4.587179
2023-03-06,-4.388197,-4.565412
2023-03-07,-4.193089,-4.404327
2023-03-08,-4.557330,-4.259884
2023-03-09,-4.397265,-4.529539
2023-03-10,-4.132662,-4.411040
2023-03-13,-3.889474,-4.215148
2023-03-14,-4.101203,-4.035112
2023-03-15,-4.151887,-4.191859
2023-03-16,-4.418110,-4.229381
2023-03-17,-4.228743,-4.426472
2023-03-20,-4.422043,-4.286279
