Model,AAPL_MSE,AAPL_QLIKE,AMZN_MSE,AMZN_QLIKE,JPM_MSE,JPM_QLIKE,Avg_MSE,Avg_QLIKE
ARFIMA,0.0615,0.1433,0.0523,0.1160,0.0570,0.1394,0.0569,0.1329
ARFIMAX,0.0589,0.1363,0.0537,0.1085,0.0590,0.1453,0.0572,0.1300
NAR,0.0621,0.1448,0.0566,0.1280,0.0592,0.1458,0.0593,0.1395
NARX,0.0632,0.1420,0.0539,0.1151,0.0565,0.1399,0.0579,0.1323
HAR,0.0627,0.1466,0.0526,0.1181,0.0579,0.1423,0.0578,0.1357
LSTM,0.0629,0.1452,0.0558,0.1256,0.0593,0.1436,0.0594,0.1381
