,RW,AR,HAR,ARFIMA,FNN,LSTM,NAR
RW,,0.0733,-0.0048,-0.0252,0.4641,0.1566,0.1360
AR,0.8405,,0.0761,-0.1112,0.7641,0.6888,0.5285
HAR,0.9515,0.8694,,-0.3701,0.8011,0.7232,0.8402
ARFIMA,0.9860,1.0656,1.3243,,0.8444,0.9108,1.1736
FNN,0.4070,0.2147,0.1835,0.1387,,0.2022,0.2010
LSTM,0.7724,0.2581,0.2378,0.0465,0.8070,,0.3899
NAR,0.7660,0.4088,0.1061,-0.2200,0.7753,0.5685,
