,RW,AR,HAR,ARFIMA,FNN,LSTM,NAR
RW,,-0.0168,-0.0818,-0.0703,0.4566,0.1010,0.1085
AR,1.0155,,0.0895,-0.0453,0.8511,0.6439,0.6280
HAR,1.0889,0.9027,,-0.1872,0.8872,0.7277,0.8447
ARFIMA,1.0697,1.0305,1.1714,,0.9339,0.8984,1.0510
FNN,0.4611,0.1638,0.1187,0.0605,,0.1236,0.1529
LSTM,0.8697,0.3537,0.2698,0.0908,0.8808,,0.4844
NAR,0.8501,0.3647,0.1468,-0.0655,0.8448,0.5071,
