panel,model_1,model_2,alpha_1,alpha_2,p_value_1,verdict
AMZN,LSTM,RW,0.7359,0.1776,0.0000,model_1_encompasses_2
AMZN,LSTM,AR,0.0283,0.9639,0.9068,model_2_encompasses_1
AMZN,LSTM,HAR,0.0387,0.9492,0.8016,model_2_encompasses_1
AMZN,LSTM,ARFIMA,-0.0352,1.0247,0.8547,model_2_encompasses_1
AMZN,LSTM,FNN,0.8899,0.0606,0.0000,model_1_encompasses_2
AMZN,LSTM,NAR,0.5934,0.3639,0.0015,mixed
AMZN,NAR,RW,0.6836,0.2227,0.0000,mixed
AMZN,NAR,AR,-0.1090,1.1041,0.5194,model_2_encompasses_1
AMZN,NAR,HAR,-0.2465,1.2342,0.0821,model_2_encompasses_1
AMZN,NAR,ARFIMA,-0.3726,1.3620,0.0247,model_2_encompasses_1
AMZN,NAR,FNN,0.7205,0.2438,0.0000,model_1_encompasses_2
AMZN,NAR,LSTM,0.3639,0.5934,0.0440,mixed
JPM,RW,AR,0.0733,0.8405,0.4107,model_2_encompasses_1
JPM,RW,HAR,-0.0048,0.9515,0.9592,model_2_encompasses_1
JPM,RW,ARFIMA,-0.0252,0.9860,0.7815,model_2_encompasses_1
JPM,RW,FNN,0.4641,0.4070,0.0000,mixed
JPM,RW,LSTM,0.1566,0.7724,0.0596,model_2_encompasses_1
JPM,RW,NAR,0.1360,0.7660,0.1085,model_2_encompasses_1
JPM,AR,RW,0.8405,0.0733,0.0000,model_1_encompasses_2
JPM,AR,HAR,0.0761,0.8694,0.7670,model_2_encompasses_1
JPM,AR,ARFIMA,-0.1112,1.0656,0.6203,model_2_encompasses_1
JPM,AR,FNN,0.7641,0.2147,0.0000,model_1_encompasses_2
JPM,AR,LSTM,0.6888,0.2581,0.0018,model_1_dominant
JPM,AR,NAR,0.5285,0.4088,0.0183,model_1_dominant
JPM,HAR,RW,0.9515,-0.0048,0.0000,model_1_encompasses_2
JPM,HAR,AR,0.8694,0.0761,0.0009,model_1_encompasses_2
