date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-06-15,0.194197,0.311243,0.273141,0.251087,0.265454,0.273043,0.240228,0.532815,0.936176,0.798874,0.722020,0.771866,0.798528,0.684892
2022-06-16,0.186519,0.012282,0.023979,0.012870,0.006224,0.020984,0.014413,0.285332,0.022845,0.043367,0.023900,0.011819,0.038193,0.026651
2022-06-17,0.000609,0.002485,0.003344,0.000891,0.004506,0.000379,0.000702,0.001238,0.005140,0.006954,0.001818,0.009430,0.000768,0.001430
2022-06-21,0.038040,0.012778,0.024593,0.023612,0.017403,0.019877,0.022088,0.067082,0.023734,0.044423,0.042736,0.031936,0.036267,0.040107
2022-06-22,0.041280,0.027097,0.022654,0.017718,0.037502,0.041805,0.017284,0.094978,0.060664,0.050217,0.038802,0.085702,0.096274,0.037807
2022-06-23,0.001190,0.010094,0.000467,0.001595,0.006803,0.003037,0.009892,0.002326,0.021611,0.000947,0.003277,0.014386,0.006303,0.021165
2022-06-24,0.042525,0.012368,0.019452,0.026347,0.013799,0.025163,0.017077,0.074470,0.023000,0.035525,0.047426,0.025559,0.045400,0.031363
2022-06-27,0.002664,0.004048,0.000578,0.000247,0.001045,0.000011,0.001498,0.005517,0.008450,0.001176,0.000489,0.002135,0.000021,0.003075
2022-06-28,0.032783,0.052532,0.038429,0.027763,0.044786,0.040566,0.033018,0.074251,0.123140,0.087968,0.062244,0.103668,0.093217,0.074818
2022-06-29,0.015122,0.071736,0.049806,0.044986,0.064478,0.054526,0.061651,0.032885,0.172923,0.116246,0.104166,0.153866,0.128210,0.146521
2022-06-30,0.013898,0.098476,0.075172,0.065166,0.085598,0.054517,0.092602,0.030116,0.245525,0.182046,0.155660,0.210105,0.128188,0.229267
2022-07-01,0.120830,0.018015,0.022551,0.028980,0.014303,0.051734,0.010555,0.194181,0.033011,0.040907,0.051906,0.026455,0.089411,0.019735
2022-07-05,0.014878,0.013955,0.015434,0.007327,0.017669,0.002262,0.011304,0.032330,0.030244,0.033592,0.015528,0.038690,0.004671,0.024299
2022-07-06,0.045539,0.091458,0.072387,0.073018,0.094909,0.066592,0.090880,0.105544,0.226119,0.174647,0.176321,0.235632,0.159386,0.224532
2022-07-07,0.536780,0.304992,0.336233,0.318921,0.246294,0.336529,0.246096,0.696313,0.435891,0.473288,0.452669,0.363187,0.473639,0.362936
2022-07-08,0.078779,0.011819,0.006567,0.000744,0.017730,0.003520,0.007036,0.191689,0.025447,0.013874,0.001515,0.038829,0.007326,0.014893
2022-07-11,0.009709,0.001940,0.013027,0.015544,0.004446,0.002832,0.005421,0.018202,0.003769,0.024179,0.028657,0.008510,0.005467,0.010328
2022-07-12,0.048477,0.041798,0.027648,0.020581,0.058473,0.054641,0.046633,0.112900,0.096257,0.061970,0.045398,0.138318,0.128505,0.108277
2022-07-13,0.120062,0.274973,0.175432,0.164143,0.199542,0.199554,0.245712,0.306706,0.805346,0.473335,0.438272,0.550026,0.550066,0.703581
2022-07-14,0.227106,0.038748,0.048941,0.061816,0.038835,0.067190,0.037228,0.338651,0.068253,0.084910,0.105454,0.068398,0.113881,0.065735
2022-07-15,0.016288,0.018749,0.021736,0.042077,0.026662,0.053863,0.024218,0.029972,0.034298,0.039496,0.073735,0.047964,0.092827,0.043779
2022-07-18,0.012626,0.004874,0.001209,0.000000,0.002531,0.001050,0.001441,0.027254,0.010218,0.002474,0.000000,0.005236,0.002146,0.002955
2022-07-19,0.022885,0.016673,0.029358,0.029735,0.011650,0.010678,0.026419,0.041484,0.030651,0.052546,0.053184,0.021710,0.019958,0.047549
2022-07-20,0.092773,0.091955,0.051592,0.041888,0.081977,0.075305,0.074396,0.229736,0.227486,0.120758,0.096479,0.200297,0.182401,0.179981
2022-07-21,0.041245,0.000626,0.008414,0.013728,0.006815,0.005836,0.008047,0.072369,0.001230,0.015844,0.025432,0.012911,0.011099,0.015173
2022-07-22,0.002917,0.006487,0.003704,0.000033,0.002680,0.001115,0.001770,0.006050,0.013700,0.007717,0.000066,0.005550,0.002281,0.003642
