,RW,AR,HAR,ARFIMA,FNN,LSTM,NAR
RW,,0.0213,-0.0906,-0.0274,0.3288,0.1776,0.2227
AR,0.9664,,-0.1718,0.0023,1.0116,0.9639,1.1041
HAR,1.0994,1.1559,,0.3568,1.0368,0.9492,1.2342
ARFIMA,1.0229,0.9871,0.6342,,1.1539,1.0247,1.3620
FNN,0.5771,-0.0192,-0.0517,-0.1735,,0.0606,0.2438
LSTM,0.7359,0.0283,0.0387,-0.0352,0.8899,,0.5934
NAR,0.6836,-0.1090,-0.2465,-0.3726,0.7205,0.3639,
