date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-06-15,0.122103,0.220794,0.209010,0.180018,0.177781,0.181281,0.181086,0.312602,0.619629,0.580806,0.487734,0.480700,0.491715,0.491100
2022-06-16,0.208118,0.032331,0.040733,0.038840,0.030442,0.053127,0.026102,0.313958,0.057560,0.071527,0.068405,0.054379,0.091648,0.047007
2022-06-17,0.010032,0.004704,0.008870,0.002840,0.004921,0.001727,0.002356,0.021475,0.009853,0.018909,0.005888,0.010318,0.003552,0.004869
2022-06-21,0.204509,0.140517,0.172831,0.172016,0.165039,0.149203,0.133625,0.309217,0.222215,0.266872,0.265765,0.256247,0.234376,0.212477
2022-06-22,0.139800,0.037064,0.038642,0.024573,0.063538,0.065872,0.034069,0.364543,0.084634,0.088492,0.054712,0.151419,0.157504,0.077356
2022-06-23,0.033708,0.002969,0.021376,0.015347,0.007734,0.001943,0.004418,0.059870,0.005728,0.038872,0.028308,0.014601,0.003775,0.008457
2022-06-24,0.002761,0.003977,0.005291,0.012607,0.004535,0.002279,0.010021,0.005333,0.007630,0.010087,0.023428,0.008676,0.004415,0.018770
2022-06-27,0.002178,0.000101,0.006198,0.014194,0.008279,0.002620,0.001860,0.004223,0.000201,0.011770,0.026262,0.015598,0.005065,0.003615
2022-06-28,0.000702,0.000049,0.000019,0.003203,0.000002,0.000796,0.000244,0.001429,0.000099,0.000037,0.006170,0.000004,0.001622,0.000483
2022-06-29,0.049274,0.063065,0.040119,0.028340,0.049391,0.062989,0.043554,0.114906,0.150189,0.092117,0.063616,0.115200,0.149992,0.100604
2022-06-30,0.083139,0.185347,0.153023,0.131612,0.148617,0.171456,0.163178,0.203437,0.504577,0.404271,0.340334,0.390948,0.460925,0.435300
2022-07-01,0.076210,0.000633,0.002147,0.004299,0.003309,0.006022,0.009035,0.127850,0.001246,0.004164,0.008233,0.006372,0.011445,0.016976
2022-07-05,0.001335,0.008336,0.010079,0.002429,0.000619,0.000457,0.003407,0.002736,0.017734,0.021578,0.005021,0.001259,0.000926,0.007088
2022-07-06,0.006935,0.023903,0.021822,0.015888,0.011281,0.016222,0.021924,0.014674,0.053140,0.048280,0.034622,0.024247,0.035384,0.048516
2022-07-07,0.628094,0.506971,0.500265,0.498841,0.495250,0.488932,0.554815,0.789986,0.664778,0.657614,0.656090,0.652239,0.645448,0.715154
2022-07-08,0.147197,0.010562,0.006291,0.000472,0.010061,0.013141,0.019961,0.386670,0.022649,0.013274,0.000958,0.021538,0.028412,0.043965
2022-07-11,0.007623,0.003954,0.020424,0.021648,0.002632,0.000082,0.002054,0.014396,0.007586,0.037220,0.039344,0.005088,0.000163,0.003987
2022-07-12,0.159546,0.122302,0.102375,0.084072,0.180296,0.169665,0.100154,0.424150,0.313179,0.256411,0.205963,0.488611,0.455354,0.250201
2022-07-13,0.118910,0.350723,0.234555,0.220874,0.247323,0.275826,0.319787,0.303384,1.084411,0.665683,0.619894,0.709097,0.808361,0.967741
