date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-06-15,0.045533,0.088729,0.101577,0.094393,0.053128,0.094185,0.090208,0.105529,0.218640,0.254178,0.234207,0.124653,0.233630,0.222690
2022-06-16,0.026434,0.000038,0.000267,0.000625,0.000584,0.001101,0.001672,0.047575,0.000076,0.000539,0.001272,0.001150,0.002252,0.003438
2022-06-17,0.000006,0.002271,0.005095,0.005969,0.000009,0.002551,0.001968,0.000012,0.004689,0.010692,0.012578,0.000017,0.005277,0.004056
2022-06-21,0.155849,0.111830,0.107528,0.101153,0.151120,0.102893,0.115277,0.243601,0.181133,0.174840,0.165448,0.237045,0.168020,0.186148
2022-06-22,0.004001,0.041365,0.035403,0.033485,0.049002,0.023771,0.059766,0.007674,0.072566,0.062701,0.059497,0.085011,0.043011,0.102217
2022-06-23,0.073616,0.035448,0.020023,0.024402,0.042393,0.059794,0.033542,0.177906,0.080699,0.044108,0.054310,0.097727,0.141720,0.076084
2022-06-24,0.001732,0.018064,0.006964,0.007330,0.025039,0.039876,0.008010,0.003561,0.039595,0.014736,0.015533,0.055807,0.091521,0.017021
2022-06-27,0.006744,0.000864,0.000043,0.000803,0.000183,0.000652,0.001349,0.012778,0.001763,0.000085,0.001576,0.000362,0.001326,0.002633
2022-06-28,0.004370,0.012967,0.013254,0.004956,0.002447,0.008446,0.002148,0.009139,0.028021,0.028666,0.010394,0.005059,0.017975,0.004432
2022-06-29,0.005917,0.000199,0.000065,0.001378,0.002837,0.000005,0.003064,0.011249,0.000395,0.000129,0.002690,0.005477,0.000010,0.005909
2022-06-30,0.123551,0.135507,0.131308,0.121735,0.116205,0.145928,0.124802,0.316799,0.351814,0.339442,0.311537,0.295610,0.382858,0.320432
2022-07-01,0.020207,0.003702,0.001327,0.001107,0.000218,0.003951,0.002145,0.036842,0.007714,0.002719,0.002264,0.000441,0.008244,0.004426
2022-07-05,0.047344,0.021266,0.015892,0.020094,0.039735,0.031133,0.035082,0.082325,0.038681,0.029274,0.036646,0.069883,0.055545,0.062165
2022-07-06,0.000942,0.003872,0.003314,0.004548,0.015019,0.007096,0.006834,0.001845,0.007432,0.006381,0.008700,0.027728,0.013427,0.012944
2022-07-07,0.019972,0.030024,0.031695,0.031170,0.030731,0.015855,0.035414,0.036432,0.053673,0.056491,0.055608,0.054868,0.029207,0.062720
2022-07-08,0.005455,0.000152,0.000757,0.000338,0.000966,0.003389,0.000016,0.011468,0.000306,0.001487,0.000669,0.001972,0.007049,0.000032
2022-07-11,0.000127,0.001250,0.000453,0.000614,0.001536,0.005161,0.000008,0.000256,0.002560,0.000894,0.001209,0.003153,0.010835,0.000015
2022-07-12,0.020181,0.030313,0.017971,0.013866,0.031386,0.041158,0.013393,0.044473,0.068320,0.039382,0.030045,0.070892,0.094676,0.028978
2022-07-13,0.018556,0.059183,0.040082,0.034128,0.043242,0.063250,0.036527,0.040725,0.140144,0.092026,0.077501,0.099832,0.150668,0.083325
2022-07-14,0.031266,0.100077,0.089571,0.079827,0.070131,0.097181,0.071718,0.070605,0.249987,0.220943,0.194504,0.168685,0.241927,0.172876
2022-07-15,0.056330,0.002481,0.003024,0.003879,0.012922,0.006742,0.005317,0.096763,0.004801,0.005831,0.007445,0.023992,0.012774,0.010135
2022-07-18,0.019807,0.024247,0.032266,0.030303,0.009165,0.013704,0.019049,0.043607,0.053945,0.073007,0.068297,0.019559,0.029678,0.041860
2022-07-19,0.349944,0.246042,0.249843,0.236245,0.297095,0.252079,0.238443,0.489443,0.362867,0.367681,0.350388,0.426301,0.370506,0.353197
2022-07-20,0.055317,0.000468,0.001150,0.001670,0.001220,0.002933,0.000593,0.130228,0.000950,0.002353,0.003434,0.002498,0.006084,0.001205
2022-07-21,0.019025,0.024204,0.007237,0.010198,0.026237,0.045813,0.027700,0.041805,0.053845,0.015330,0.021842,0.058631,0.106228,0.062095
2022-07-22,0.001621,0.001454,0.000013,0.000000,0.004523,0.009783,0.000009,0.003156,0.002984,0.000026,0.000000,0.009466,0.020922,0.000019
2022-07-25,0.002233,0.000820,0.000354,0.001225,0.000995,0.000048,0.000506,0.004329,0.001671,0.000700,0.002394,0.001949,0.000096,0.000997
2022-07-26,0.002031,0.000446,0.000577,0.003233,0.004025,0.000075,0.008005,0.003942,0.000879,0.001136,0.006228,0.007720,0.000149,0.015096
2022-07-27,0.001506,0.001483,0.000425,0.000078,0.000540,0.005085,0.000060,0.003092,0.003043,0.000861,0.000157,0.001098,0.010672,0.000121
2022-07-28,0.002554,0.000264,0.002444,0.003015,0.000993,0.000252,0.001040,0.004940,0.000522,0.004732,0.005815,0.001945,0.000509,0.002036
2022-07-29,0.025030,0.021433,0.030470,0.034540,0.025735,0.014103,0.034709,0.045172,0.038972,0.054426,0.061260,0.046379,0.026100,0.061543
2022-08-01,0.193843,0.148795,0.127384,0.115555,0.150545,0.171882,0.123021,0.531679,0.391483,0.327954,0.293749,0.396766,0.462249,0.315261
2022-08-02,0.132667,0.031661,0.049889,0.053573,0.037979,0.020449,0.046164,0.211117,0.056433,0.086442,0.092362,0.066981,0.037263,0.080409
2022-08-03,0.003014,0.000041,0.000044,0.000247,0.000114,0.000493,0.001375,0.006255,0.000083,0.000089,0.000490,0.000226,0.001000,0.002683
2022-08-04,0.022832,0.016832,0.026157,0.033081,0.029946,0.015115,0.020238,0.041391,0.030931,0.047101,0.058819,0.053541,0.027898,0.036895
2022-08-05,0.240144,0.170453,0.168249,0.152985,0.212805,0.226326,0.162024,0.684606,0.457802,0.450962,0.404155,0.593247,0.638050,0.431751
2022-08-08,0.214846,0.059042,0.094638,0.093514,0.072992,0.048403,0.065268,0.322757,0.101070,0.155763,0.154083,0.122890,0.084041,0.110876
2022-08-09,0.016778,0.045383,0.039470,0.052734,0.050958,0.039278,0.069960,0.030836,0.079139,0.069446,0.091017,0.088164,0.069130,0.118194
2022-08-10,0.100327,0.051316,0.036644,0.029075,0.045456,0.057305,0.042068,0.250685,0.120060,0.083608,0.065364,0.105337,0.135317,0.096924
2022-08-11,0.011617,0.001133,0.004066,0.005337,0.000522,0.001991,0.001365,0.021650,0.002215,0.007797,0.010173,0.001061,0.004103,0.002664
2022-08-12,0.106171,0.089803,0.120051,0.125376,0.088844,0.079513,0.105357,0.172849,0.148515,0.193058,0.200715,0.147071,0.132912,0.171651
2022-08-15,0.001135,0.008825,0.013205,0.023771,0.009044,0.008114,0.013709,0.002322,0.016594,0.024498,0.043009,0.016994,0.015296,0.025397
2022-08-16,0.065795,0.031962,0.021295,0.013070,0.060173,0.051588,0.029959,0.157303,0.072275,0.047055,0.028253,0.142698,0.120749,0.067474
2022-08-17,0.038345,0.013254,0.030506,0.037479,0.003438,0.004595,0.011931,0.067587,0.024585,0.054487,0.066151,0.006615,0.008788,0.022216
2022-08-18,0.062958,0.077738,0.096676,0.125651,0.067433,0.077502,0.090865,0.107251,0.130195,0.158802,0.201109,0.114260,0.129833,0.150112
2022-08-19,0.011873,0.001089,0.002885,0.011542,0.000271,0.001325,0.002648,0.025569,0.002132,0.005568,0.021516,0.000536,0.002587,0.005118
2022-08-22,0.025106,0.010671,0.003793,0.000618,0.028924,0.018876,0.016448,0.055965,0.022891,0.007906,0.001257,0.065006,0.041461,0.035899
2022-08-23,0.004747,0.013105,0.003151,0.000614,0.028859,0.018821,0.017411,0.009945,0.028331,0.006544,0.001249,0.064850,0.041333,0.038098
2022-08-24,0.013449,0.002267,0.006717,0.017316,0.001060,0.002967,0.003516,0.024934,0.004393,0.012729,0.031783,0.002075,0.005724,0.006761
2022-08-25,0.023556,0.016422,0.016541,0.005251,0.021433,0.009825,0.015760,0.052326,0.035839,0.036110,0.011027,0.047375,0.021016,0.034332
2022-08-26,0.450822,0.515711,0.500461,0.450316,0.555711,0.535806,0.555095,1.487139,1.768680,1.701069,1.485006,1.950260,1.859138,1.947419
2022-08-29,0.518659,0.137774,0.145042,0.159492,0.144795,0.088513,0.141237,0.677202,0.218348,0.228566,0.248629,0.228220,0.146572,0.223227
2022-08-30,0.117379,0.049833,0.081582,0.063004,0.029022,0.015052,0.044615,0.298980,0.116314,0.199230,0.150030,0.065237,0.032726,0.103243
2022-08-31,0.000101,0.011809,0.013986,0.010591,0.002257,0.013724,0.027090,0.000203,0.025426,0.030313,0.022713,0.004661,0.029724,0.060647
2022-09-01,0.002904,0.008397,0.019181,0.019805,0.015150,0.025129,0.013975,0.006023,0.017868,0.042164,0.043603,0.032948,0.056019,0.030289
2022-09-02,0.000950,0.018500,0.014240,0.017277,0.003726,0.012374,0.022717,0.001939,0.040596,0.030888,0.037791,0.007764,0.026690,0.050365
2022-09-06,0.005645,0.022349,0.039056,0.031942,0.010644,0.023227,0.010577,0.011877,0.049506,0.089506,0.072227,0.022830,0.051556,0.022683
